z,p,T_rho,T,qv,h,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent
650.0,93396.16641800293,296.99610799659763,294.2242965865897,0.0155,66618.74505250002,294.8170397723367,0.012143846423053668,58766.217459227286,296.99610799659763,294.2242965865897,0.0155,66618.74505250002,2849.690926215627,0.0,296.99610799659763,294.8170397723367,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
700.0,92860.33757735442,296.5102650941402,293.7429879688055,0.0155,66618.74505250002,294.37996141294235,0.0118938806357238,58182.80914061128,296.5102650941402,293.7429879688055,0.0155,66618.74505250002,2849.690926215627,0.0,296.5102650941402,294.37996141294235,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
750.0,92326.71244796783,296.0244221916828,293.2616793510213,0.0155,66618.74505250002,293.9420705789284,0.011647555771943272,57607.935776552404,296.0244221916828,293.2616793510213,0.0155,66618.74505250002,2849.690926215627,0.0,296.0244221916828,293.9420705789284,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
800.0,91795.28555814165,295.53857928922537,292.78037073323713,0.0155,66618.74505250002,293.50337388412674,0.011404853659218112,57041.554699681496,295.53857928922537,292.78037073323713,0.0155,66618.74505250002,2849.690926215627,0.0,295.53857928922537,293.50337388412674,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
850.0,91266.05144081358,295.2267208742299,292.48428040745785,0.015426991207678502,66618.74505250002,293.2176576167518,0.011273273522091922,56910.52937135499,295.2267208742299,292.48428040745785,0.015426991207678502,66618.74505250002,2849.690926215627,0.0,295.2267208742299,293.2176576167518,0.015426991207678502,66618.74505250002,905.7088881945941,0.0,0.0004716666666666667
900.0,90739.314337383,294.92120386071207,292.2120255503475,0.015254081362616601,66389.79296601968,292.93731178216433,0.011142686319031191,56787.52209872088,294.9983083910867,292.2773634898596,0.015316908556499732,66618.74505250002,2849.690926215627,0.002564737404681354,294.9836086479142,292.93731178216433,0.015304915968723215,66575.05808193487,905.7088881945941,0.00207577805338809,0.00047
950.0,90215.07632673043,294.61376252028265,291.93786259267597,0.015080856135365387,66164.9238429289,292.6550382028685,0.011011940679192455,56662.22210740328,294.76867059926934,292.0692988835985,0.015206292429679125,66618.74505250002,2849.690926215627,0.005158103416010115,294.73877852440086,292.6550382028685,0.01518202732866374,66531.0141700104,905.7088881945941,0.004162762085207045,0.00046833333333333335
1000.0,89693.32472573686,294.306594201798,291.66365282103567,0.01490911186671859,65943.93643344473,292.3727796443635,0.010882393903345298,56540.019436607196,294.53863227432504,291.8607836013437,0.015095824568726072,66618.74505250002,2849.690926215627,0.00773442911689997,294.49331532857235,292.3727796443635,0.015059223802332102,66486.60460572867,905.7088881945941,0.006223898104030274,0.00046666666666666666
1050.0,89174.05079949267,293.9997225178626,291.38941810114494,0.014738861412481692,65726.76406873566,292.09055877294577,0.01075405398290888,56420.95632740941,294.30820503244075,291.6518266089478,0.014985519270288546,66618.74505250002,2849.690926215627,0.010293252803419703,294.24723804129184,292.09055877294577,0.014936529143912247,66441.84497246763,905.7088881945941,0.008258944137925873,0.000465
1100.0,88657.24587091616,293.6931318162192,291.1151469403464,0.01457008601671447,65513.344713157814,291.8083634594005,0.010626905046933872,56304.97962518524,294.07738525641,291.44242395872163,0.014875378449685084,66618.74505250002,2849.690926215627,0.012834914541450282,294.00054576097085,291.8083634594005,0.014813950910538661,66396.75097356486,905.7088881945941,0.01026830549071501,0.00046333333333333334
1150.0,88142.90125135382,293.38680615937767,290.8408275255655,0.014402767041953212,65303.618458181445,291.52618125403404,0.01050093135159621,56192.03619105462,293.8461689932401,291.23257140672996,0.014765403814910377,66618.74505250002,2849.690926215627,0.015359754786459014,293.75323708222146,291.52618125403404,0.01469149628752368,66351.33800249716,905.7088881945941,0.012252382444031326,0.0004616666666666667
1200.0,87631.00824067721,293.0807299973813,290.56644829779293,0.01423688649778138,65097.527339732645,291.2439999853507,0.010376117677842028,56082.07450995984,293.6145522312771,291.0222646476084,0.014655597092744284,66618.74505250002,2849.690926215627,0.017868101101579676,293.50531045577935,291.2439999853507,0.014569172382465042,66305.62114434567,905.7088881945941,0.014211559719133118,0.00046
1250.0,87121.55812855334,292.77488814758766,290.29199793806976,0.014072427010682656,64895.015209691446,290.9618077448884,0.010252449306983923,55975.044612956146,293.3825309047712,290.8114993183108,0.014545960033194954,66618.74505250002,2849.690926215627,0.020360268893573116,293.25676419673,290.9618077448884,0.014446986233653614,66259.61518449093,905.7088881945941,0.01614620731988212,0.0004583333333333333
1300.0,86614.54219565836,292.46926576476847,290.0174653449677,0.013909371787366995,64696.027619356166,290.6795928632383,0.010129911991489502,55870.897978513814,293.150100893355,290.6002709975363,0.014436494409844725,66618.74505250002,2849.690926215627,0.0228365623101255,293.0075964860873,290.6795928632383,0.014324944813090518,66213.33461691902,905.7088881945941,0.018056681485245328,0.0004566666666666667
1350.0,86109.95171481984,292.1638483135705,289.742839613834,0.013747704581102914,64500.51171297041,290.3973438879497,0.010008491928148882,55769.58744178309,292.91725802141036,290.38857520505906,0.014327202020125327,66618.74505250002,2849.690926215627,0.025297275061822815,292.7578053720992,290.3973438879497,0.014203055029267617,66166.7936520462,905.7088881945941,0.01994332556132312,0.000455
1400.0,85607.77795209209,291.8586215432972,289.4681100177871,0.013587409660905983,64308.41613026802,290.1150495633039,0.009888175733497288,55671.067111486656,292.68399805741984,290.1764074010411,0.014218084685599123,66618.74505250002,2849.690926215627,0.027742691172622767,292.50738877140935,290.1150495633039,0.014081323729816766,66120.00622410001,905.7088881945941,0.02180647079783464,0.0004533333333333333
1450.0,85108.0121677714,291.55357146477724,289.19326599029046,0.013428471783297962,64119.69091712559,289.83269881177114,0.009768950421268123,55575.29229368067,292.4503167133035,289.9637629853304,0.014109144252246526,66618.74505250002,2849.690926215627,0.030173085666026132,292.2563444700912,289.83269881177114,0.013959757704041995,66072.98599809325,905.7088881945941,0.023646437076704094,0.0004516666666666667
1500.0,84610.64561735457,291.2486843291134,288.91829710914504,0.013270876166381692,63934.28744351793,289.5502807169805,0.00965080338167395,55482.21942169699,292.21620964374114,289.7506372967435,0.014000382590759045,66618.74505250002,2849.690926215627,0.032588725193252926,292.00467012456096,289.5691569198504,0.013838363685342343,66025.7463764234,905.7088881945941,0.025463533579296826,0.00045000000000000004
1550.0,84115.6695524466,290.9439466081275,288.6431930817636,0.01311460846600537,63752.158328063415,289.267784508057,0.00953372236233847,55391.80599166901,291.98167244548137,289.5370256123345,0.01389180159683865,66618.74505250002,2849.690926215627,0.0349898686091353,291.75236326238047,289.34009335203086,0.013717148353535233,65978.30050512713,905.7088881945941,0.027258059398305882,0.0004483333333333333
1600.0,83623.07522162014,290.63934497633835,288.3679437316024,0.012959654753815742,63573.257368526305,288.9851995451931,0.009417695450721186,55304.0105031048,291.7467006566377,289.32292314665017,0.013783403191502836,66618.74505250002,2849.690926215627,0.03737676750070096,291.49942128295845,289.1103341006192,0.01359611833708796,65930.66127981657,905.7088881945941,0.029030304099502077,0.00044666666666666666
1650.0,83132.85387123158,290.3348662943284,288.0925389856408,0.012806001497021227,63397.53947771288,288.70251530633806,0.009302711057892455,55218.79240402629,291.5112897559714,289.10832505097136,0.013675189321394996,66618.74505250002,2849.690926215627,0.03974966667289153,291.24584145815743,288.87987523857504,0.013475280215264094,65882.84135132137,905.7088881945941,0.030780548238058997,0.00044500000000000003
1700.0,82644.9967461963,290.0304975933693,287.81696886281213,0.012653635539705938,63224.960624259526,288.41972137490177,0.00918875790353565,55136.112040258,291.27543516216235,288.8932264125418,0.013567161959100543,66618.74505250002,2849.690926215627,0.04210880459537879,290.9916209328119,288.6487127240477,0.013354640520191611,65834.85313105855,905.7088881945941,0.032509063833523984,0.00044333333333333334
1750.0,82159.4950907258,289.7262260611922,287.5412234632988,0.012502544085552018,63055.477777864675,288.13680742837914,0.009075825002061763,55055.93060847733,291.0391322330677,288.67762225378397,0.013459323103468075,66618.74505250002,2849.690926215627,0.04445441381401884,290.73675672516674,288.41684240042053,0.013234205738858109,65786.70879614995,905.7088881945941,0.034216114807281164,0.00044166666666666665
1800.0,81676.34014903054,289.42203902879794,287.26529295861303,0.012352714681843,62889.048858563605,287.8537632278131,0.00896390164973752,54978.21011269267,290.80237626496796,288.4615075315026,0.013351674779935829,66618.74505250002,2849.690926215627,0.046786721330093824,290.4812457272393,288.18425999629557,0.013113982315038665,65738.42029430543,905.7088881945941,0.03590195738575326,0.00044
1850.0,81195.52316598978,289.11792395821936,286.9891675823961,0.012204135204634618,62725.63268968696,287.5705786080231,0.008852977412737138,54902.91332384628,290.56516249180305,288.2448771360765,0.013244219040863012,66618.74505250002,2849.690926215627,0.04910594895011642,290.22508470511144,287.95096112542006,0.0129939766511608,65689.99934848817,905.7088881945941,0.03756684047226642,0.0004383333333333334
1900.0,80717.03538779131,288.8138684311487,286.712837621872,0.012056793844989167,62565.18895418056,287.2872434685316,0.008743042116035826,54830.00374226557,290.32748608439533,288.0277258906384,0.013136957965866362,66618.74505250002,2849.690926215627,0.05141231360878784,289.96827029915727,287.71694128656145,0.01287419511011127,65641.45746137729,905.7088881945941,0.03921100599039873,0.00043666666666666664
1950.0,80240.86806254319,288.5098601383591,286.4362934099017,0.01191067909618298,62407.67815399661,287.0037477651286,0.008634085833072546,54759.445562717665,290.08934214966376,287.81004855024355,0.013029893662161068,66618.74505250002,2849.690926215627,0.05370602766736646,289.71079902420837,287.4821958633326,0.012754644016987806,65592.80591964128,905.7088881945941,0.04083468920102583,0.000435
2000.0,79767.01244085867,288.20588686985303,286.1595253175863,0.011765779741802028,62253.0615722952,286.72008150202396,0.008526098876117738,54691.20364185273,289.85072572982523,287.5918398010272,0.012923028264906721,66618.74505250002,2849.690926215627,0.05598729918939452,289.4526672696657,287.2467201239725,0.012635329660800262,65544.05579803513,905.7088881945941,0.04243811899541652,0.00043333333333333337
2050.0,79295.45977641703,287.90193650567835,285.8825237473763,0.011622084844652396,62101.30123822085,286.4362347245355,0.008419071787284921,54625.24346782843,289.611631801587,287.37309425935143,0.012816363937557437,66618.74505250002,2849.690926215627,0.05825633219571328,289.1938712995567,287.0105092210849,0.012516258296123925,65495.21796333231,905.7088881945941,0.044021518166122334,0.0004316666666666667
2100.0,78826.20132650137,287.5979970073568,285.6052791266447,0.01147958373641614,61952.35989404136,286.15219751227363,0.008312995330134243,54561.53113194319,289.37205527532893,287.1538064709415,0.012709902872216823,66618.74505250002,2849.690926215627,0.06051332690040028,288.9344072525452,286.77355819133777,0.012397436144707518,65446.303078102545,905.7088881945941,0.045585103657599116,0.00043
2150.0,78359.22835251495,287.2940564098784,285.32778190168926,0.011338266007992624,61806.20096445672,285.8679599727803,0.00820786048181831,54500.03330210949,289.1319909942751,286.933970910012,0.01260364728999681,66618.74505250002,2849.690926215627,0.06275847992903898,288.6742711418958,286.53586195512804,0.012278869397039371,65397.32160434483,905.7088881945941,0.04712908679800034,0.00042833333333333335
2200.0,77894.53212047686,286.99010281421675,285.05002253213024,0.01119812150046866,61662.788527903904,285.5835122355902,0.008103658425727892,54440.71719802699,288.8914337336567,286.7135819783836,0.012497599441381122,66618.74505250002,2849.690926215627,0.0649919845207354,288.4134588553973,286.2974153162127,0.012160564213873475,65348.283806984764,905.7088881945941,0.04865367351368355,0.0004266666666666667
2250.0,77432.10390149956,286.6861243803259,284.77199148567433,0.011059140296667132,61522.08728969954,285.2988444466808,0.008000380544595979,54383.55056791555,288.6503781998654,286.4926340045896,0.01239176160659235,66618.74505250002,2849.690926215627,0.06721403071506495,288.15196615524684,286.0582129613103,0.012042526727717696,65299.19975724445,905.7088881945941,0.0501590645276489,0.000425
