CAPE_u,CAPE_ext,dh,sat_def,P,RH,dz
0.0,0.0,6.881474271722254,0.00973321193479749,0.0,0.01,4300.0
2146.5701674162974,1827.8864771678827,-4035.227541549888,0.00882560692417112,0.6896551724137931,0.01,4300.0
3650.2100381344135,2951.1024451416547,-6718.224056826279,0.008124973674758259,1.3793103448275863,0.01,4300.0
4826.609068264502,3711.5003375675087,-8613.056645757883,0.007521240387911809,2.0689655172413794,0.01,4250.0
5798.1084000441115,4245.629315910856,-10001.715029565763,0.007055991803074449,2.7586206896551726,0.01,4250.0
6627.279255155666,4625.026537455899,-11044.027772296511,0.0066605792063460555,3.4482758620689657,0.01,4250.0
7351.08176572763,4892.760190360852,-11838.83404257187,0.006290274915279562,4.137931034482759,0.01,4200.0
7993.41222564737,5077.077422299861,-12450.208414302528,0.005993441308635182,4.827586206896552,0.01,4200.0
8570.709397301523,5197.600888514342,-12922.163975218064,0.005730600674373645,5.517241379310345,0.01,4200.0
9094.816137820235,5268.54167658366,-13286.071331127321,0.005495758449497409,6.206896551724139,0.01,4200.0
9574.568526631101,5300.512417432296,-13564.890465607845,0.005262557253896957,6.8965517241379315,0.01,4150.0
10016.74829465776,5301.629426329317,-13776.031178866491,0.005072217899326864,7.586206896551724,0.01,4150.0
10426.677303168197,5278.213211959389,-13932.272793331846,0.004898676942938162,8.275862068965518,0.01,4150.0
10808.614920465507,5235.260876396677,-14043.781354626684,0.004739650532557428,8.965517241379311,0.01,4150.0
11166.032384433378,5176.774778997559,-14118.5570871386,0.004593268450560612,9.655172413793103,0.01,4150.0
11501.782852783994,5105.979883931169,-14162.973502165412,0.004457982189295141,10.344827586206897,0.01,4150.0
11818.252736698443,5025.502896688244,-14182.163004316695,0.004332496312470833,11.03448275862069,0.01,4150.0
12117.456959183935,4937.498544521097,-14180.347742407568,0.004200019516151638,11.724137931034484,0.01,4100.0
12401.108934741429,4843.7347500114465,-14161.021048724084,0.004091633615471205,12.413793103448278,0.01,4100.0
12670.679066178016,4745.672142395457,-14126.869786382886,0.0039901748159681,13.10344827586207,0.01,4100.0
12927.440740953924,4644.520397102591,-14080.243551516964,0.003894961077628365,13.793103448275863,0.01,4100.0
13172.502893242743,4541.2825200912675,-14023.107046762503,0.0038054001908815367,14.482758620689657,0.01,4100.0
13406.837678131487,4436.789731865757,-13957.111881847144,0.003720975068228642,15.172413793103448,0.01,4100.0
13631.303337196012,4331.73475707604,-13883.653085445752,0.003641231910422145,15.862068965517242,0.01,4100.0
13846.655934337594,4226.6866913077965,-13803.913245668686,0.0035657710767586803,16.551724137931036,0.01,4100.0
14053.570924467489,4122.11818126559,-13718.90140126535,0.0034942377889584015,17.24137931034483,0.01,4100.0
14252.651215448834,4018.4191214264683,-13629.478554950663,0.0034263169389755076,17.931034482758623,0.01,4100.0
14444.440889614778,3915.9097202934513,-13536.399315563678,0.0033501093487136456,18.620689655172416,0.01,4050.0
14629.427913269836,3814.849639148258,-13440.362857429027,0.003288902721537729,19.310344827586206,0.01,4050.0
14808.049657817402,3715.4465057979496,-13341.828959959174,0.0032305316569195886,20.0,0.01,4050.0
0.0,0.0,6.881474271722254,0.009623289395123634,0.0,0.0198989898989899,4300.0
2124.0194129069723,1808.6440310869498,-3994.4142817909815,0.00873617891172744,0.6896551724137931,0.0198989898989899,4300.0
3613.7832300077084,2921.5485377801497,-6656.486941903764,0.008050176545850204,1.3793103448275863,0.0198989898989899,4300.0
4780.467726782046,3675.8546055445236,-8540.654004298747,0.007457663961381864,2.0689655172413794,0.0198989898989899,4250.0
5744.694391300775,4206.301750674961,-9924.534628788504,0.007000968330674155,2.7586206896551726,0.0198989898989899,4250.0
6568.179273185266,4583.526042654217,-10965.606159721974,0.006612430523264794,3.4482758620689657,0.0198989898989899,4250.0
7287.40345167248,4850.089007601796,-11761.337436402864,0.006247832175676723,4.137931034482759,0.0198989898989899,4200.0
7925.96126358393,5033.9223989706015,-12375.089067723042,0.005955681417494415,4.827586206896552,0.0198989898989899,4200.0
8500.098605214533,5154.447792870137,-12850.323660670569,0.005696803270035165,5.517241379310345,0.0198989898989899,4200.0
9021.518113391043,5225.733528095123,-13218.080468908607,0.0054653520332373995,6.206896551724139,0.0198989898989899,4200.0
9498.959650109015,5258.295400688576,-13501.068475371787,0.005256844670484956,6.8965517241379315,0.0198989898989899,4200.0
9939.131253930556,5260.177928397338,-13716.584207544409,0.005047287510344512,7.586206896551724,0.0198989898989899,4150.0
10347.301285239904,5237.650610077136,-13877.315877097884,0.004875980312736984,8.275862068965518,0.0198989898989899,4150.0
10727.691692569984,5195.675398494379,-13993.334609777565,0.004718927741837542,8.965517241379311,0.0198989898989899,4150.0
11083.730749788647,5138.218521763064,-14072.59035959695,0.004574299688817213,9.655172413793103,0.0198989898989899,4150.0
11418.255901535755,5068.489109723129,-14121.421534878398,0.004440579899891508,10.344827586206897,0.0198989898989899,4150.0
11733.627130274961,4989.096205697797,-14144.93641427574,0.004316499390991388,11.03448275862069,0.0198989898989899,4150.0
12031.840567967796,4902.179548605408,-14147.290898192208,0.0042009864475139125,11.724137931034484,0.0198989898989899,4150.0
12314.59623552824,4809.496538876254,-14132.067746441302,0.00407801547521634,12.413793103448278,0.0198989898989899,4100.0
12583.354092270427,4712.504309975014,-14101.89785980466,0.003977594383495615,13.10344827586207,0.0198989898989899,4100.0
12839.377339668566,4612.403858738167,-14059.126543164079,0.0038833254991738285,13.793103448275863,0.0198989898989899,4100.0
13083.766326096256,4510.1965626423535,-14005.717188800038,0.0037946274428478704,14.482758620689657,0.0198989898989899,4100.0
13317.485408176251,4406.708525994929,-13943.321731440992,0.0037109923915017353,15.172413793103448,0.0198989898989899,4100.0
13541.384084097886,4302.6291211043,-13873.336025428456,0.0036319749204945235,15.862068965517242,0.0198989898989899,4100.0
13756.215823490038,4198.52890844484,-13796.946890613872,0.003557181444028442,16.551724137931036,0.0198989898989899,4100.0
13962.650709664638,4094.8780633762744,-13715.165110205846,0.0034862635165598633,17.24137931034483,0.0198989898989899,4100.0
14161.291664172404,3992.067723277698,-13628.8543157534,0.0034189116694503794,17.931034482758623,0.0198989898989899,4100.0
14352.673996001558,3890.4157844214787,-13538.757585406871,0.0033548489715541003,18.620689655172416,0.0198989898989899,4100.0
14537.280986207235,3790.1814170504977,-13445.581460799862,0.0032824741120162674,19.310344827586206,0.0198989898989899,4050.0
14715.554101135802,3691.5759868712285,-13349.832477755444,0.0032245568770747557,20.0,0.0198989898989899,4050.0
0.0,0.0,6.881474271722254,0.009513672015245157,0.0,0.029797979797979796,4300.0
2101.4933601372245,1789.4234082617847,-3953.6042062880224,0.008646764750564376,0.6896551724137931,0.029797979797979796,4300.0
3577.3553312400877,2891.995469210521,-6594.618962277818,0.007975226282154604,1.3793103448275863,0.029797979797979796,4300.0
4734.284571436838,3640.1791218791236,-8467.95254467403,0.007393837238685974,2.0689655172413794,0.029797979797979796,4250.0
5691.19194053341,4166.911950465611,-9846.889038039495,0.006945632859388815,2.7586206896551726,0.029797979797979796,4250.0
6508.944847401759,4541.93386116859,-10886.566862504857,0.006563932114672286,3.4482758620689657,0.029797979797979796,4250.0
7223.546052117883,4807.30101814332,-11683.087870738957,0.006205020143907157,4.137931034482759,0.029797979797979796,4200.0
7858.291024369634,4990.630679369725,-12299.099655257101,0.005917539935475176,4.827586206896552,0.029797979797979796,4200.0
8429.226751590966,5111.138292986358,-12777.512869444043,0.00566261886881283,5.517241379310345,0.029797979797979796,4200.0
8947.922225252456,5182.754582923499,-13149.033797915596,0.005434558061887589,6.206896551724139,0.029797979797979796,4200.0
9423.017427121811,5215.895232269003,-13436.147730299672,0.005228983578743883,6.8965517241379315,0.029797979797979796,4200.0
9861.148334020412,5218.533967312492,-13655.948874083908,0.005021978774445169,7.586206896551724,0.029797979797979796,4150.0
10267.531737740932,5196.89049177773,-13821.120472299808,0.004852912037839188,8.275862068965518,0.029797979797979796,4150.0
10646.343288463158,5155.884848678275,-13941.60914678796,0.004697840613616801,8.965517241379311,0.029797979797979796,4150.0
11000.981752721269,5099.455718311988,-14025.31236478444,0.0045549747416883495,9.655172413793103,0.029797979797979796,4150.0
11334.251557812966,5030.787104453877,-14078.532646097105,0.0044228301510202414,10.344827586206897,0.029797979797979796,4150.0
11648.500266553407,4952.4770118482065,-14106.353204631487,0.004300164041988361,11.03448275862069,0.029797979797979796,4150.0
11945.701747428442,4866.64730476307,-14112.912849154687,0.004185926366356996,11.724137931034484,0.029797979797979796,4150.0
12227.541588404469,4775.048017114937,-14101.733268487093,0.004064077687440087,12.413793103448278,0.029797979797979796,4100.0
12495.46768811912,4679.1267942565755,-14075.539325746184,0.003964703208806156,13.10344827586207,0.029797979797979796,4100.0
12750.733097733784,4580.080184324112,-14036.621055759191,0.0038713879775932425,13.793103448275863,0.029797979797979796,4100.0
12994.429532492395,4478.903876562543,-13986.940086713912,0.0037835614435179883,14.482758620689657,0.029797979797979796,4100.0
13227.51370699951,4376.423252648802,-13928.147783431705,0.003700725314050039,15.172413793103448,0.029797979797979796,4100.0
13450.829720750333,4273.322773566644,-13861.642765610384,0.0036224414120444495,15.862068965517242,0.029797979797979796,4100.0
13665.126536539536,4170.173621662024,-13788.612947281676,0.00354832331314022,16.551724137931036,0.029797979797979796,4100.0
13871.070728373234,4067.4466386639956,-13710.071122670837,0.0034780288485058057,17.24137931034483,0.029797979797979796,4100.0
14069.25523964729,3965.5275625500212,-13626.885604012066,0.0034112533419552804,17.931034482758623,0.029797979797979796,4100.0
14260.214295593274,3864.7356787334948,-13539.802150985532,0.0033477244101223795,18.620689655172416,0.029797979797979796,4100.0
14444.432097209768,3765.3327582087104,-13449.4826696526,0.0032758072587740716,19.310344827586206,0.029797979797979796,4050.0
14622.344050247604,3667.5287472214845,-13356.535144043904,0.0032183505037752646,20.0,0.029797979797979796,4050.0
0.0,0.0,6.881474271722254,0.009404357872064024,0.0,0.039696969696969696,4300.0
2078.99293813913,1770.2255287546766,-3912.7975028917645,0.00855736483196634,0.6896551724137931,0.039696969696969696,4300.0
3540.9262834748247,2862.443198012587,-6532.620773156843,0.007900123659424564,1.3793103448275863,0.039696969696969696,4300.0
4688.06037407788,3604.474635721894,-8394.952895422655,0.007329760581420454,2.0689655172413794,0.039696969696969696,4250.0
5637.600826649059,4127.4597880464125,-9768.778185531475,0.006889985211186442,2.7586206896551726,0.039696969696969696,4250.0
6449.578521833939,4500.252500136669,-10806.908752246309,0.00651508314218768,3.4482758620689657,0.039696969696969696,4250.0
7159.51078100445,4764.397468284251,-11604.082706041394,0.006161837493763232,4.137931034482759,0.039696969696969696,4200.0
7790.400227334274,4947.201464574812,-12222.236219535545,0.005879014843314253,4.827586206896552,0.039696969696969696,4200.0
8358.0930795939,5067.672132889671,-12703.726054051163,0.005628044977105007,5.517241379310345,0.039696969696969696,4200.0
8874.026206516814,5139.603490430557,-13078.924141388743,0.005403373556349526,6.206896551724139,0.039696969696969696,4200.0
9346.739686581759,5173.3107745294865,-13370.090347572754,0.00520073430740061,6.8965517241379315,0.039696969696969696,4200.0
9782.799493285089,5176.69815911998,-13594.114801693642,0.004996288134487684,7.586206896551724,0.039696969696969696,4150.0
10187.364537874055,5155.930557587824,-13763.674966864564,0.004829468001803564,8.275862068965518,0.039696969696969696,4150.0
10564.566690198919,5115.887470569816,-13888.591346320078,0.0046763851326252675,8.965517241379311,0.039696969696969696,4150.0
10917.77765402676,5060.482573475029,-13976.708287247493,0.004535289274086686,9.655172413793103,0.039696969696969696,4150.0
11249.771062436403,4992.875724614739,-14034.290731876106,0.00440472831896556,10.344827586206897,0.039696969696969696,4150.0
11562.86940862037,4915.644626642736,-14066.396169870335,0.0042834854155121855,11.03448275862069,0.039696969696969696,4150.0
11859.034489797587,4830.900323891334,-14077.145569876244,0.00417053195946947,11.724137931034484,0.039696969696969696,4150.0
12139.936949694411,4740.38543322314,-14069.997863091863,0.004049815300479896,12.413793103448278,0.039696969696969696,4100.0
12407.010871647773,4645.535886270135,-14047.773332585697,0.00395149628506045,13.10344827586207,0.039696969696969696,4100.0
12661.498949160423,4547.545435400717,-14012.705002375304,0.0038591436065642274,13.793103448275863,0.039696969696969696,4100.0
12904.48423559434,4447.402290015906,-13966.752406547967,0.0037721974599712093,14.482758620689657,0.039696969696969696,4100.0
13136.917858157647,4345.931881539884,-13911.567450234674,0.0036901683270944372,15.172413793103448,0.039696969696969696,4100.0
13359.637658037549,4243.8160125415525,-13848.548830971755,0.003612626198500973,15.862068965517242,0.039696969696969696,4100.0
13573.384382672682,4141.621542897372,-13778.885776567877,0.0035391916825334322,16.551724137931036,0.039696969696969696,4100.0
13778.81870374199,4039.8185836894886,-13703.594323858182,0.0034695284610730807,17.24137931034483,0.039696969696969696,4100.0
13976.531739121345,3938.794593165248,-13623.545825840345,0.0034033367591022826,17.931034482758623,0.039696969696969696,4100.0
14167.057695275844,3838.869330631692,-13539.487871823992,0.0033403492715888823,18.620689655172416,0.039696969696969696,4100.0
14350.872662845328,3740.301443891742,-13452.066702770935,0.0032803260854968254,19.310344827586206,0.039696969696969696,4100.0
14528.407342986153,3643.3011368603566,-13361.908256247945,0.003211907550702093,20.0,0.039696969696969696,4050.0
0.0,0.0,6.881474271722254,0.009295345062004528,0.0,0.049595959595959596,4300.0
2056.5169910002924,1751.0492788016745,-3871.9943572736884,0.008467979543370165,0.6896551724137931,0.049595959595959596,4300.0
3504.496024570256,2832.891681206491,-6470.493026316573,0.007824869439451586,1.3793103448275863,0.049595959595959596,4300.0
4641.793494708195,3568.739662635851,-8321.6556269918,0.007265434410248514,2.0689655172413794,0.049595959595959596,4250.0
5583.922629031237,4087.946769487829,-9690.20199043952,0.006834025220264841,2.7586206896551726,0.049595959595959596,4250.0
6390.076801657044,4458.479280906344,-10726.630696772765,0.006465882773897936,3.4482758620689657,0.049595959595959596,4250.0
7095.2965420722085,4721.377201616167,-11524.319756003773,0.006118282676954013,4.137931034482759,0.049595959595959596,4200.0
7722.285966483533,4903.632605370893,-12144.494645895218,0.005840104194275098,4.827586206896552,0.049595959595959596,4200.0
8286.69894323805,5024.050780688666,-12628.95752560717,0.005593079101570437,5.517241379310345,0.049595959595959596,4200.0
8799.831014641628,5096.281484485378,-13007.744002477732,0.005371795637174132,6.206896551724139,0.049595959595959596,4200.0
9270.128317034987,5130.54403156052,-13302.887841989432,0.005172093282159474,6.8965517241379315,0.049595959595959596,4200.0
9704.081910287727,5134.669027827922,-13531.071405483643,0.004970211997508255,7.586206896551724,0.049595959595959596,4150.0
10106.79506568505,5114.767918196319,-13704.967608840569,0.0048056440798321465,8.275862068965518,0.049595959595959596,4150.0
10482.362929307646,5075.684429460167,-13834.26780868235,0.004654556967964126,8.965517241379311,0.049595959595959596,4150.0
10834.113831073537,5021.297149421275,-13926.762813071953,0.004515239061260558,9.655172413793103,0.049595959595959596,4150.0
11164.805234539828,4954.749781411406,-13988.679330796273,0.00438626994223867,10.344827586206897,0.049595959595959596,4150.0
11476.732502133933,4878.5977091695295,-14025.047652889632,0.004266458795524113,11.03448275862069,0.049595959595959596,4150.0
11771.838880461844,4794.940048325586,-14039.970172772453,0.004154798367607276,11.724137931034484,0.049595959595959596,4150.0
12051.780571635001,4705.508874092456,-14036.841278671243,0.004035223491471129,12.413793103448278,0.049595959595959596,4100.0
12317.981040323102,4611.732005973203,-14018.578253122483,0.00393796887108734,13.10344827586207,0.049595959595959596,4100.0
12571.672781843909,4514.799153401955,-13987.356162613432,0.003846587401087388,13.793103448275863,0.049595959595959596,4100.0
12813.93012604555,4415.693188017847,-13945.132063680714,0.003760529918579453,14.482758620689657,0.049595959595959596,4100.0
13045.695235763107,4315.2348462569835,-13893.556737290579,0.0036793161614453495,15.172413793103448,0.049595959595959596,4100.0
13267.798775708248,4214.105297193271,-13834.029050479447,0.0036025241400909442,15.862068965517242,0.049595959595959596,4100.0
13480.977100673479,4112.867815161354,-13767.740044338672,0.0035297813405543756,16.551724137931036,0.049595959595959596,4100.0
13685.886815416257,4011.9927510676457,-13695.708604900967,0.0034607569539564444,17.24137931034483,0.049595959595959596,4100.0
13883.118535779064,3911.8691644088176,-13618.807499157556,0.00339515678245665,17.931034482758623,0.049595959595959596,4100.0
14073.194872739094,3812.812799736789,-13537.788211938234,0.0033327180460122614,18.620689655172416,0.049595959595959596,4100.0
14256.590996767605,3715.0835261872485,-13453.300323320553,0.0032732045209083087,19.310344827586206,0.049595959595959596,4100.0
14433.740387220358,3618.8936235646197,-13365.923224000144,0.003205222884971832,20.0,0.049595959595959596,4050.0
0.0,0.0,6.881474271722254,0.009186631700736289,0.0,0.059494949494949496,4300.0
2034.0654055463158,1731.8945616217559,-3831.194952832644,0.008378609271864044,0.6896551724137931,0.059494949494949496,4300.0
3468.065759055557,2803.3420831744393,-6408.236353808388,0.0077494643916751,1.3793103448275863,0.059494949494949496,4300.0
4595.483849749312,3532.9741654229438,-8248.061309818535,0.007200859147331121,2.0689655172413794,0.059494949494949496,4250.0
5530.156251156894,4048.3719765049073,-9611.160279645832,0.006777752833690333,2.7586206896551726,0.059494949494949496,4250.0
6330.439157731609,4416.613869599429,-10645.731416439128,0.006416330281941273,3.4482758620689657,0.059494949494949496,4250.0
7030.901161978499,4678.238542693828,-11443.796590808968,0.006074354306306853,4.137931034482759,0.059494949494949496,4200.0
7653.947817716055,4859.923810403746,-12065.871091812238,0.005800805883001802,4.827586206896552,0.059494949494949496,4200.0
8215.03951539937,4980.270665225242,-12553.20171749057,0.005557718661607579,5.517241379310345,0.059494949494949496,4200.0
8725.33374725235,5052.786689892882,-12935.486658449336,0.005339821018117041,6.206896551724139,0.059494949494949496,4200.0
9193.17807197894,5087.591492864294,-13234.531293354346,0.005143057200809875,6.8965517241379315,0.059494949494949496,4200.0
9624.990682532552,5092.443175723966,-13466.808080106217,0.004943746638131272,7.586206896551724,0.059494949494949496,4150.0
10025.823334670178,5073.402553613802,-13644.986252752453,0.004781436368182852,8.275862068965518,0.059494949494949496,4150.0
