z,p,T_rho,T,qv,h,qsat_env,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent,dh,dz,sat_def
50.0,100000.0,302.1144508362445,300.0,0.011596392067629968,56765.232711822384,0.022382317026070322,300.0870865746809,0.011581130824889872,56815.16485182788,302.1144508362445,300.0,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,302.1144508362445,300.0870865746809,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
100.0,99435.97618595102,301.62813986069045,299.5170926373685,0.011596392067629968,56765.232711822384,0.021925666003205488,299.6447922810482,0.011329452023525553,56221.2103163415,301.62813986069045,299.5170926373685,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,301.62813986069045,299.6447922810482,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
150.0,98874.23192058632,301.1418288851365,299.03418527473696,0.011596392067629968,56765.232711822384,0.021475819188289027,299.2017821202186,0.011081904807781628,55637.147524849905,301.1418288851365,299.03418527473696,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,301.1418288851365,299.2017821202186,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
200.0,98314.76164688013,300.65551790958244,298.55127791210543,0.011596392067629968,56765.232711822384,0.02103273105326117,298.7580620160854,0.010838452775359313,55062.886356278934,300.65551790958244,298.55127791210543,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,300.65551790958244,298.7580620160854,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
250.0,97757.55981241263,300.16920693402847,298.0683705494739,0.011596392067629968,56765.232711822384,0.02059635531363172,298.31363796159394,0.010599059218228252,54498.33602404104,300.16920693402847,298.0683705494739,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,300.16920693402847,298.31363796159394,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
300.0,97202.6208693732,299.6828959584744,297.58546318684233,0.011596392067629968,56765.232711822384,0.02016664494321527,297.86851601662937,0.010363687133247809,53943.40510163174,299.6828959584744,297.58546318684233,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,299.6828959584744,297.86851601662937,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
350.0,96649.93927456379,299.1965849829204,297.1025558242108,0.011596392067629968,56765.232711822384,0.019743552189338674,297.4227023058648,0.010132299232994654,53398.001548687105,299.1965849829204,297.1025558242108,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,299.1965849829204,297.4227023058648,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
400.0,96099.50948940302,298.71027400736637,296.6196484615793,0.011596392067629968,56765.232711822384,0.019327028588506965,296.976203016571,0.009904857956786358,52862.0327374759,298.71027400736637,296.6196484615793,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,298.71027400736637,296.976203016571,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
450.0,95551.32597992972,298.2239630318124,296.13674109894777,0.011596392067629968,56765.232711822384,0.018917024982515095,296.5290243963907,0.009681325481891623,52335.405479805275,298.2239630318124,296.13674109894777,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,298.2239630318124,296.5290243963907,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
500.0,95005.3832168064,297.73765205625836,295.65383373631624,0.011596392067629968,56765.232711822384,0.018513491534991537,296.08117275107816,0.009461663734916984,51818.02605431434,297.73765205625836,295.65383373631624,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,297.73765205625836,296.08117275107816,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
550.0,94461.67567532294,297.2513410807044,295.1709263736847,0.011596392067629968,56765.232711822384,0.018116377748359187,295.6326544422074,0.009245834403359604,51309.80023413176,297.2513410807044,295.1709263736847,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,297.2513410807044,295.6326544422074,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
600.0,93920.19783540051,296.76503010515034,294.6880190110532,0.011596392067629968,56765.232711822384,0.01772563248119753,295.1834758848502,0.009033798947315149,50810.63331487013,296.76503010515034,294.6880190110532,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,296.76503010515034,295.1834758848502,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
650.0,93380.94418159488,296.27871912959637,294.2051116484217,0.011596392067629968,56765.232711822384,0.017341203965993545,294.73364354522727,0.0088255186113314,50320.43014293601,296.27871912959637,294.2051116484217,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,296.27871912959637,294.73364354522727,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
700.0,92843.90920310051,295.79240815404233,293.72220428579016,0.011596392067629968,56765.232711822384,0.016963039827259767,294.2831639383322,0.008620954436394004,49839.09514412073,295.79240815404233,293.72220428579016,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,295.79240815404233,294.2831639383322,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
750.0,92309.08739375364,295.3060971784883,293.2392969231586,0.011596392067629968,56765.232711822384,0.01659108710000934,293.83204362553454,0.008420067272036333,49366.53235245634,295.3060971784883,293.2392969231586,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,295.3060971784883,293.83204362553454,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
800.0,91776.47325203681,294.81978620293427,292.75638956052705,0.011596392067629968,56765.232711822384,0.016225292248565854,293.3802892121599,0.008222817788559605,48902.64543930064,294.81978620293427,292.75638956052705,0.011596392067629968,56765.232711822384,1920.76569818047,0.0,294.81978620293427,293.3802892121599,0.011596392067629968,56765.232711822384,211.37464715120862,0.0,0.0,-4498.192380755398,4200.0,0.29861478828188404
