B,CAPE,dh,sat_def,P
0.0,0.0,9.344220584571303,0.00613095407330831,0.0
10.958612545012755,547.9306272506378,-1171.9925926814976,0.006000655508430422,0.5263157894736842
20.30020058356375,1015.0100291781873,-2229.5574024489833,0.005848504508030123,1.0526315789473684
28.514767376096696,1425.7383688048349,-3186.463405074115,0.005739007822059585,1.5789473684210527
35.88533526212391,1794.2667631061947,-4059.625622055566,0.005637011855225744,2.1052631578947367
42.593080492062185,2129.654024603109,-4862.127776357032,0.005541576629510707,2.631578947368421
48.76250196569447,2438.125098284723,-5604.197149123793,0.005451932875149026,3.1578947368421053
54.48350022456599,2724.1750112283003,-6293.982888545965,0.0053674421407796605,3.6842105263157894
59.82370538562346,2991.185269281172,-6938.085685536396,0.00528756809019435,4.2105263157894735
64.83544045784556,3241.772022892277,-7541.928424757272,0.005211855381104369,4.7368421052631575
69.56022557112732,3478.011278556365,-8110.021785371071,0.005139913889078565,5.263157894736842
74.0316899479966,3701.5844973998314,-8646.15911757038,0.005071406391207396,5.789473684210526
78.27751808595292,3913.8759042976444,-9153.561451137975,0.00500603939174168,6.315789473684211
82.32082292312109,4116.041146156054,-9634.987286930882,0.004943555916733094,6.842105263157895
86.18113918139524,4309.056959069762,-10092.81758275455,0.004883729324428198,7.368421052631579
89.87518835892897,4493.7594179464495,-10529.12237498854,0.004826358541168483,7.894736842105263
93.41735004042062,4670.867502021032,-10945.836736003657,0.004750888047322613,8.421052631578947
96.820118481605,4841.005924080252,-11344.426765242162,0.004698405601755635,8.947368421052632
100.09443934634751,5004.721967317377,-11726.295866651679,0.004647868939293427,9.473684210526315
103.25002095300383,5162.501047650187,-12092.697026188223,0.004599150509072888,10.0
0.0,0.0,9.344220584571303,0.006010254697911122,0.0
10.748956323319383,537.447816165969,-1149.2949258497902,0.005885109799109586,0.5263157894736842
19.9185804858299,995.9290242914957,-2187.3675388109477,0.005738148797756747,1.0526315789473684
27.987326223871797,1399.3663111935903,-3127.3482355533415,0.0056328214951153095,1.5789473684210527
35.231452128614386,1761.5726064307185,-3985.662350043487,0.0055346408879155375,2.1052631578947367
41.827783599421906,2091.389179971095,-4775.028880106787,0.005442715687366658,2.631578947368421
47.89782403818904,2394.891201909453,-5505.393734711186,0.00535631607713059,3.1578947368421053
53.529309290080235,2676.4654645040137,-6184.684900463792,0.005274836027687574,3.6842105263157894
58.788206932163135,2939.410346608157,-6819.326426120417,0.005197766172373282,4.2105263157894735
63.72562153529885,3186.2810767649416,-7414.5980894387685,0.005124673876262444,4.7368421052631575
68.38210585904346,3419.105292952174,-7974.893360352078,0.005055188207274519,5.263157894736842
72.79047793550238,3639.5238967751184,-8503.908534700422,0.004988988360791442,5.789473684210526
76.9777746522323,3848.888732611615,-9004.783229645313,0.00492579519138879,6.315789473684211
80.96659496671364,4048.3297483356832,-9480.20721319042,0.004865364054210226,6.842105263157895
84.77602735873302,4238.801367936649,-9932.50362559007,0.004807478807910341,7.368421052631579
88.42237550955197,4421.118775477595,-10363.69212536895,0.004751948220218309,7.894736842105263
91.91970050668107,4595.985025334052,-10775.614956664132,0.004678395464639382,8.421052631578947
95.28023566837409,4764.011783418705,-11169.80079560473,0.004627562826644683,8.947368421052632
98.51474427225189,4925.737213612597,-11547.570610237912,0.0045785980591843654,9.473684210526315
101.63263651831407,5081.631825915702,-11910.149529604416,0.004531379110861408,10.0
0.0,0.0,9.344220584571303,0.005889951461356585,0.0
10.539740157413748,526.9870078706873,-1126.648786781283,0.005769836965546179,0.5263157894736842
19.537494548374156,976.8747274187075,-2145.2397625231897,0.0056279623796679735,1.0526315789473684
27.460290704659972,1373.014535232997,-3068.2765248823853,0.005526714556139975,1.5789473684210527
34.57769582217096,1728.8847911085472,-3911.702944991732,0.005432271150010224,2.1052631578947367
41.0622537265907,2053.1126863295344,-4687.879155948591,0.005343787605870299,2.631578947368421
47.032435471818474,2351.621773590923,-5406.473938293486,0.005260572023362717,3.1578947368421053
52.57390172805538,2628.6950864027694,-6075.197239489469,0.0051820495601100905,3.6842105263157894
57.75097868658847,2887.5489343294234,-6700.298784105726,0.005107736820122587,4.2105263157894735
62.61352440492388,3130.6762202461955,-7286.916963613534,0.0050372230653330545,4.7368421052631575
67.2011177169879,3360.055885849395,-7839.329551788767,0.004970155755274641,5.263157894736842
71.54580986530362,3577.2904932651804,-8361.136530288408,0.004906230153710424,5.789473684210526
75.67399475663144,3783.6997378315727,-8855.396885706905,0.004845180863304808,6.315789473684211
79.60772120446987,3980.3860602234918,-9324.732660430898,0.004786774975702831,6.842105263157895
83.36563726466929,4168.281863233465,-9771.409094368828,0.004730806866377427,7.368421052631579
86.96367131748241,4348.183565874119,-10197.395929304206,0.004677094635718353,7.894736842105263
90.41557320096965,4520.778660048484,-10604.442602543146,0.004605445044429831,8.421052631578947
93.73335497563107,4686.667748781551,-10994.141010749903,0.004556244497775955,8.947368421052632
96.92743180456418,4846.371590228208,-11367.730391946367,0.004508835213711065,9.473684210526315
100.00703434803665,5000.351717401834,-11726.406749931855,0.004463101279420092,10.0
0.0,0.0,9.344220584571303,0.005770041363836697,0.0
10.330961287232803,516.5480643616398,-1104.0538682308616,0.00565483535701353,0.5263157894736842
19.156939724855857,957.8469862427928,-2103.1737917764913,0.005517944484331345,1.0526315789473684
26.933658057966614,1346.6829028983302,-3009.248138306306,0.005420686814124839,1.5789473684210527
33.92406379665981,1696.2031898329908,-3837.7474319173125,0.005329902774701623,2.1052631578947367
40.296465742307106,2014.8232871153543,-4600.678729164101,0.005244792656140742,2.631578947368421
46.16633937635643,2308.3169688178223,-5307.43788757475,0.005164700981208303,3.1578947368421053
51.61727286856714,2580.8636434283558,-5965.519918548052,0.005089082893769818,3.6842105263157894
56.711984140230996,2835.5992070115494,-6581.00244840121,0.0050174800524209195,4.2105263157894735
61.49910033417336,3074.9550167086704,-7158.88455819861,0.0049495025875638185,4.7368421052631575
66.01722983505822,3300.8614917529126,-7703.329280252365,0.004884815964948778,5.263157894736842
70.2976447306788,3514.88223653394,-8217.841427619445,0.004823130837578326,5.789473684210526
74.36610097641278,3718.3050488206377,-8705.400126009517,0.004764195061360586,6.315789473684211
78.24412531169897,3912.2062655849463,-9168.56044848809,0.004707787015604803,6.842105263157895
81.94991939563224,4097.495969781613,-9609.529832976164,0.004653711482319935,7.368421052631579
85.4990612380198,4274.953061900989,-10030.228980791187,0.004601795211686066,7.894736842105263
88.9049982681869,4445.249913409343,-10432.340614571884,0.00455188325970321,8.421052631578947
92.1793708336188,4608.96854168094,-10817.44055661856,0.004484447305304968,8.947368421052632
95.33241690690548,4766.620845345273,-11186.766846600403,0.004438576904615688,9.473684210526315
98.37322309258388,4918.661154629196,-11541.459464545042,0.004394312929253081,10.0
0.0,0.0,9.344220584571303,0.005650521445300295,0.0
10.12261698397976,506.13084919898796,-1081.5098662972377,0.005540103340802874,0.5263157894736842
18.776913033128316,938.8456516564158,-2061.16934921137,0.005408094349124035,1.0526315789473684
26.407425558437794,1320.3712779218886,-2950.262943674192,0.005314738082047894,1.5789473684210527
33.270571571927555,1663.5285785963777,-3763.795838640559,0.00522753589814176,2.1052631578947367
39.53041715791326,1976.5208578956629,-4513.427729065559,0.0051457311130062465,2.631578947368421
