z,p,T_rho,T,qv,h,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent
4600.0,57703.76997594278,266.1793113535692,265.583029180398,0.0036940099318103206,46722.7301137836,265.85970870944317,0.0019779002815906686,42728.419906118776,271.77748578978736,270.858721229012,0.005580947850589965,56765.232711822384,5358.726200427443,0.20631990871128245,269.94667561812844,269.14557533899296,0.004897181404505645,53324.560791283155,2310.146490360038,0.13884566477908877,0.00034666666666666667
4650.0,57334.50919608988,265.812046987639,265.22968212613785,0.0036125976180297237,46653.49540351741,265.5000300744942,0.0019335709587818993,42746.0016959379,271.48117661862074,270.5768910767772,0.005498717878114177,56765.232711822384,5358.726200427443,0.20922363117167891,269.6152003708659,268.8293409696478,0.004809664010310142,53276.878157299914,2310.146490360038,0.1403583287976071,0.000345
4700.0,56967.10610409634,265.4440854301131,264.87543154561314,0.003532261812111767,46586.09113706166,265.1395368372586,0.0018898557534257256,42764.322127372885,271.18396119375666,270.29406649464426,0.005416873091065613,56765.232711822384,5358.726200427443,0.2121282195838128,269.28256634923065,268.51181697811535,0.00472276492186243,53229.48921322379,2310.146490360038,0.1418584925541967,0.00034333333333333335
4750.0,56601.552946325945,265.0754012740382,264.5202531532597,0.00345299935790601,46520.484102395334,264.77820437031664,0.0018467520982198343,42783.34950937666,270.8858232124285,270.0102301341395,0.005335420510369827,56765.232711822384,5358.726200427443,0.21503405801385952,268.94875418716197,268.19298270936696,0.004636493346311896,53182.39596133746,2310.146490360038,0.14334635313241226,0.00034166666666666666
4800.0,56237.841966581545,264.7059692839644,264.1641228224014,0.0033748071521276773,46456.64138643126,264.4160082100206,0.001804257454306666,42803.05239102669,270.5867462510323,269.72536452063315,0.005254367209177755,56765.232711822384,5358.726200427443,0.2179415228262136,268.61374439229775,267.87281738974934,0.004550858481126493,53135.60025230364,2310.146490360038,0.14482209795437498,0.00034
4850.0,55875.965406921096,264.33576440606214,263.8070165963671,0.0032976821394453512,46394.530373509384,264.05292406708423,0.0017623693090723666,42823.399566517925,270.28671376593485,269.4394520542979,0.005173720312533583,56765.232711822384,5358.726200427443,0.22085098227825142,268.2775173526041,267.5513001340461,0.00446586951202027,53089.10378692789,2310.146490360038,0.14628590456709972,0.00033833333333333334
4900.0,55515.91550847405,263.96476177898893,263.4489107003929,0.003221621307303697,46334.11874402445,263.68892783794263,0.0017210851737937739,42844.36008055711,269.9857090945454,269.1524750113526,0.0050934869969289755,56765.232711822384,5358.726200427443,0.22376279609269703,267.9400533436185,267.2284099531931,0.004381535610626326,53042.908117936044,2310.146490360038,0.14773794042125904,0.0003366666666666667
4950.0,55157.684512259286,263.59293674550827,263.08978155431237,0.0031466216804811402,46275.37447318941,263.3239956168841,0.0016804025811344469,42865.90323416238,269.68371545666855,268.8644155456066,0.005013674489738349,56765.232711822384,5358.726200427443,0.22667731500776092,267.6013325363288,266.9041257626754,0.00429786593190448,52997.01465176784,2310.146490360038,0.14917836264298004,0.000335
5000.0,54801.2646600055,263.2202648648623,262.7296057860346,0.0030726803153823725,46218.265829935706,262.9581037089567,0.0016403190824914931,42887.99859087575,269.3807159561487,268.57525569031867,0.0049342900685289655,56765.232711822384,5358.726200427443,0.22959488030508043,267.26133500571814,266.57842639163374,0.004214869611273069,52951.42465038861,2310.146490360038,0.150607317799594,0.0003333333333333333
5050.0,54446.648194974325,262.84672192589585,262.3683602458089,0.0029997942940664718,46162.76137595138,262.5912286436448,0.0016008322451943704,42910.61598338667,269.07669358282214,268.2849773603854,0.004855341060240124,56765.232711822384,5358.726200427443,0.23251582331575493,266.92004074000135,266.2512905927093,0.004132555761454402,52906.139233120804,2310.146490360038,0.15202494166026043,0.0003316666666666667
5100.0,54093.82736278652,262.472283960931,262.0060220212732,0.0029279607180122103,46108.829964858014,262.223347189316,0.0015619396495581263,42933.72552057396,268.771631214791,267.993562354876,0.004776834840224801,56765.232711822384,5358.726200427443,0.23544046490472476,266.5774296505778,265.92269705265386,0.004050933469022303,52861.159378497,2310.146490360038,0.15343135895228296,0.00033
5150.0,53742.79441225256,262.0969272603859,261.6425684532801,0.002857176701622761,46056.44074152732,261.85443636842984,0.0015236388857928968,42957.297594962045,268.4655116210346,267.7009923599284,0.004698778831147361,56765.232711822384,5358.726200427443,0.2383691149339411,266.2334815827322,265.59262440373584,0.003970011790642156,52816.48592613635,2310.146490360038,0.15482668311446068,0.0003283333333333333
5200.0,53393.54159620817,261.7206283881318,261.2779771524926,0.0027874393654729324,46005.563141537874,261.4844734735034,0.001485927550772676,42981.30289059402,268.1583174643737,267.40724895202453,0.004621180501730559,56765.232711822384,5358.726200427443,0.24130207170477977,265.8881763271058,265.2610512359686,0.003889799748991395,52772.11957864607,2310.146490360038,0.15621101604839663,0.0003266666666666667
