CAPE_u,CAPE_ext,dh,sat_def,P,RH
2775.390461088394,2314.382109308773,-5186.389007871694,0.008466661911668154,0.9639096215349929,0.017215024355985403
4312.33813273831,3388.7360949332483,-7810.384955713962,0.007702590757859502,1.767727829392317,0.017215024355985403
4723.250423603647,3643.737333967816,-8453.899291226975,0.00750801209991916,2.023633647952303,0.017215024355985403
5629.0413327795195,4150.760959102557,-9769.003012083114,0.007077717798049054,2.6586996145951955,0.017215024355985403
5712.374944836795,4193.356774660505,-9882.394508652607,0.007038142455808995,2.72241561845159,0.017215024355985403
6134.015969126508,4397.773663094587,-10435.48982796324,0.006838188755131366,3.0595662415065252,0.017215024355985403
7481.511039762578,4917.647294431904,-11960.825303664453,0.0061778554582538016,4.320930397751037,0.017215024355985403
7643.487376883604,4965.520658932672,-12118.306111760168,0.006103437917234939,4.493615021437886,0.017215024355985403
7702.505608320702,4982.146817009952,-12174.26584374487,0.006076387830304837,4.557762898336111,0.017215024355985403
8733.233364554608,5199.806030418389,-13027.579977479982,0.005610334500311061,5.79219568941896,0.017215024355985403
9089.097109446007,5242.005664608096,-13267.046127543283,0.005452607660024238,6.2730884070244315,0.017215024355985403
9585.914000287341,5271.750563916324,-13553.587449292492,0.005213965300936557,6.997071338107496,0.017215024355985403
9697.678476796997,5273.710215352004,-13610.425327346209,0.0051659911959632656,7.168901891589956,0.017215024355985403
9714.223248806833,5273.851829253173,-13618.599090409298,0.005158906087888462,7.194629559509368,0.017215024355985403
9959.590199486065,5271.452654970158,-13732.5478951092,0.005054347980722923,7.585195298352101,0.017215024355985403
10082.599343667549,5267.072893816457,-13784.550104344511,0.005002300908185768,7.787509039657946,0.017215024355985403
10532.326682613664,5233.0129720121095,-13945.606608562899,0.0048142092630229704,8.566142840923755,0.017215024355985403
10781.87558920233,5201.931417000215,-14015.35435724612,0.004711376066022398,9.026023965438416,0.017215024355985403
10813.509028307451,5197.3736931333215,-14023.199910508352,0.004698420911703426,9.085806907076071,0.017215024355985403
11124.376144084157,5145.261251389056,-14088.424063521808,0.004572097282026285,9.69176377347724,0.017215024355985403
2731.73090974251,2277.8775623599727,-5109.1247640964575,0.008340334594776157,0.9639096215349929,0.03225783167118327
4248.06984833125,3338.023101157305,-7705.695770938786,0.007598931329063938,1.767727829392317,0.03225783167118327
4653.912955677132,3590.0048165497574,-8344.180100765268,0.007410064935713725,2.023633647952303,0.03225783167118327
5549.1794466725605,4091.5569716426644,-9651.710474451473,0.006991939156882174,2.6586996145951955,0.03225783167118327
5631.587315670672,4133.729706400075,-9764.64750574228,0.006953450453218124,2.72241561845159,0.03225783167118327
6048.667322181451,4336.228074021161,-10316.060897110394,0.006758902545910153,3.0595662415065252,0.03225783167118327
7382.832241310443,4852.336742503056,-11842.665833232124,0.006114807838820692,4.320930397751037,0.03225783167118327
7543.332542777356,4899.998760361596,-12000.966611573378,0.006042198308595894,4.493615021437886,0.03225783167118327
7601.817951164745,4916.558701026634,-12057.258583119168,0.006015800254891346,4.557762898336111,0.03225783167118327
8623.81008153104,5134.14024379455,-12919.147188094095,0.0055605403137736435,5.79219568941896,0.03225783167118327
8976.899606972429,5176.767054653557,-13162.720626230075,0.005406274303609177,6.2730884070244315,0.03225783167118327
9470.038347598691,5207.474574228706,-13455.855811710688,0.0051937981196614825,6.997071338107496,0.03225783167118327
9581.003561672009,5209.7064788968955,-13514.28586901373,0.00512525523574035,7.168901891589956,0.03225783167118327
9597.431949383823,5209.890617940921,-13522.704932569373,0.005118316213420861,7.194629559509368,0.03225783167118327
9841.095305480025,5208.170581858174,-13640.414448066214,0.0050158889809583575,7.585195298352101,0.03225783167118327
9963.273660921554,5204.169741780088,-13694.385550512401,0.004964885858651294,7.787509039657946,0.03225783167118327
10410.068278773137,5171.683607106367,-13863.089825387018,0.0047804713527045675,8.566142840923755,0.03225783167118327
10658.067139725752,5141.602304585798,-13937.36700025502,0.004679584867562636,9.026023965438416,0.03225783167118327
10689.508898518086,5137.178000239697,-13945.800332539991,0.004666871800696789,9.085806907076071,0.03225783167118327
10998.527673947088,5086.443703453449,-14016.95690843626,0.004542870097640773,9.69176377347724,0.03225783167118327
2708.691969344176,2258.61536157812,-5068.285191016141,0.008273566765658578,0.9639096215349929,0.04020147787658062
4214.109793890852,3311.2278332989836,-7650.2042209227075,0.0075439945699915635,1.767727829392317,0.04020147787658062
4617.260996313269,3561.603931016855,-8285.973389241124,0.007358114037876241,2.023633647952303,0.04020147787658062
5506.930822459305,4060.2395359713455,-9589.36028685933,0.006946358064723721,2.6586996145951955,0.04020147787658062
5588.84702140501,4102.18725543492,-9702.0433238263,0.00690843874698053,2.72241561845159,0.04020147787658062
6003.497812131744,4303.659166963348,-10252.496368518689,0.00671672528639464,3.0595662415065252,0.04020147787658062
7330.546363268348,4817.7346845183365,-11779.534745344594,0.006081164936202049,4.320930397751037,0.04020147787658062
7490.255596432607,4865.278541477695,-11938.240355966147,0.00600950695773081,4.493615021437886,0.04020147787658062
7548.457237757691,4881.802723942259,-11994.697615559591,0.005983452170655955,4.557762898336111,0.04020147787658062
8565.770517713167,5099.313688243678,-12860.943647559208,0.005533881832110182,5.79219568941896,0.04020147787658062
8917.368718697442,5142.155010862602,-13106.63201505143,0.0053814432713309625,6.2730884070244315,0.04020147787658062
9408.531055918917,5173.359496022074,-13403.199720458091,0.00517139913515887,6.997071338107496,0.04020147787658062
9519.069787157454,5175.735403359018,-13462.434146816056,0.005103385193298781,7.168901891589956,0.04020147787658062
9535.434567340642,5175.940899420629,-13470.980586731195,0.005096523430659739,7.194629559509368,0.04020147787658062
9778.181324258028,5174.5748553424755,-13590.644700257159,0.004995224097635487,7.585195298352101,0.04020147787658062
9899.909901585086,5170.769417983197,-13645.640420286247,0.004944773808680667,7.787509039657946,0.04020147787658062
10345.123597897711,5139.106857713343,-13818.333041922233,0.004762307971934314,8.566142840923755,0.04020147787658062
10592.286118551365,5109.551449145211,-13894.977202885893,0.004662454202833775,9.026023965438416,0.04020147787658062
10623.624440096146,5105.197265018467,-13903.718004556089,0.004649869549454063,9.085806907076071,0.04020147787658062
10931.646715533954,5055.188153905306,-13977.980161939311,0.004527100558470046,9.69176377347724,0.04020147787658062
2671.806309807758,2227.777971920084,-5002.802578500654,0.00816651779898842,0.9639096215349929,0.052927690471484205
4159.67203606269,3268.278130776029,-7561.004282228103,0.007455699044851983,1.767727829392317,0.052927690471484205
4558.48891020743,3516.0658715629024,-8192.338429495838,0.007274557764819766,2.023633647952303,0.052927690471484205
5439.135694989351,4009.989263897587,-9488.878656489367,0.006872924985301878,2.6586996145951955,0.052927690471484205
5520.259387957179,4051.5735155393127,-9601.134272343981,0.006835911613043244,2.72241561845159,0.052927690471484205
5930.986741162962,4251.380123231145,-10149.944191510258,0.006648709336290332,3.0595662415065252,0.052927690471484205
7246.523128012222,4762.13375990666,-11677.331844587134,0.006026761042143992,4.320930397751037,0.052927690471484205
7404.9516616042565,4809.481797543487,-11836.64458966333,0.005956622770058348,4.493615021437886,0.052927690471484205
7462.692107194261,4825.9449143480515,-11893.351965694383,0.0059311162146057335,4.557762898336111,0.052927690471484205
8472.413704640077,5043.299321767057,-12766.328942832704,0.005490644803284148,5.79219568941896,0.052927690471484205
8821.58764967067,5086.471271744499,-13015.32544179217,0.005341133510739607,6.2730884070244315,0.052927690471484205
9309.533679028713,5118.4550459856655,-13317.288283418922,0.005134988567265441,6.997071338107496,0.052927690471484205
9419.376565645209,5121.056504402932,-13377.853981913635,0.0050890584224601906,7.168901891589956,0.052927690471484205
9435.639415960637,5121.297556268108,-13386.589565803217,0.005082273564115855,7.194629559509368,0.052927690471484205
9676.892204893695,5120.491517999967,-13509.284328168666,0.004961599220188313,7.585195298352101,0.052927690471484205
9797.88778838069,5116.996019460289,-13565.899684361015,0.0049120363736225095,7.787509039657946,0.052927690471484205
10240.525192493145,5086.64444176952,-13744.906016295121,0.004732702217499423,8.566142840923755,0.052927690471484205
10486.322073855086,5057.926344270616,-13825.30473804225,0.004634509399693259,9.026023965438416,0.052927690471484205
10517.489490750775,5053.683587839882,-13834.533710173208,0.004622131347008244,9.085806907076071,0.052927690471484205
10823.879466347898,5004.829358946171,-13913.73008291261,0.00450134647978311,9.69176377347724,0.052927690471484205
2630.657851516067,2193.379181261533,-4929.611154334496,0.008046877125761851,0.9639096215349929,0.06713668685528469
4098.8461581212605,3220.2928482642365,-7460.97775545498,0.007356704869786254,1.767727829392317,0.06713668685528469
4492.793383591652,3465.1685214386675,-8087.235960786536,0.007180790357017932,2.023633647952303,0.06713668685528469
