z,p,T_rho,T,qv,h,qsat_env,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent,dh,dz,sat_def
50.0,100000.0,302.0911171416707,300.0,0.011468421879803334,56442.20953766283,0.022354757745229534,300.0663720978312,0.01143843041442118,56433.91147612278,302.0911171416707,300.0,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,302.0911171416707,300.0663720978312,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
100.0,99435.93274352296,301.60479076884474,299.5170400466315,0.011468421879803334,56442.20953766283,0.021898519349680446,299.62401990521147,0.01119470668564116,55860.034869037205,301.60479076884474,299.5170400466315,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,301.60479076884474,299.62401990521147,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
150.0,98874.14535857982,301.1184643960189,299.03408009326307,0.011468421879803334,56442.20953766283,0.021449082327348608,299.18095219514225,0.010954863725645443,55295.41137148387,301.1184643960189,299.03408009326307,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,301.1184643960189,299.18095219514225,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
200.0,98314.63228716045,300.63213802319297,298.5511201398946,0.011468421879803334,56442.20953766283,0.02100640110621555,298.73717489567633,0.010718870131157996,54739.963752775984,300.63213802319297,298.5511201398946,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,300.63213802319297,298.73717489567633,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
250.0,97757.38797586082,300.1458116503671,298.06816018652614,0.011468421879803334,56442.20953766283,0.02057042935872741,298.2926940037919,0.01048669415292474,54193.61400846033,300.1458116503671,298.06816018652614,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,300.1458116503671,298.2926940037919,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
300.0,97202.4068758862,299.6594852775412,297.58520023315765,0.011468421879803334,56442.20953766283,0.020141120016557563,297.84751558327764,0.01025830370548061,53656.283383793256,299.6594852775412,297.58520023315765,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,299.6594852775412,297.84751558327764,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
350.0,96649.68344305526,299.1731589047153,297.1022402797892,0.011468421879803334,56442.20953766283,0.019718425285841334,297.4016457625793,0.010033666377139136,53127.89239772183,299.1731589047153,297.1022402797892,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,299.1731589047153,297.4016457625793,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
400.0,96099.2121378031,298.68683253188937,296.6192803264207,0.011468421879803334,56442.20953766283,0.019302296662866803,296.95509073260644,0.009812749440194297,52608.36086734226,298.68683253188937,296.6192803264207,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,298.68683253188937,296.95509073260644,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
450.0,95550.98742518565,298.20050615906354,296.1363203730523,0.011468421879803334,56442.20953766283,0.018892684950213304,296.5078567445057,0.00959551986132802,52097.607932824096,298.20050615906354,296.1363203730523,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,298.20050615906354,296.5078567445057,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
500.0,95005.00377488296,297.7141797862376,295.6533604196838,0.011468421879803334,56442.20953766283,0.018489540273317197,296.0599501073975,0.009381944312210726,51595.552082764676,297.7141797862376,295.6533604196838,0.011468421879803334,56442.20953766283,1306.2153958913943,0.0,297.7141797862376,296.0599501073975,0.011468421879803334,56442.20953766283,5.8981850338080815,0.0,0.0,-2994.668129514008,4200.0,0.0030512289680990645
