z,p,T_rho,T,qv,h,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent
3450.0,66984.59784191173,279.08244481045216,277.74658701162735,0.007913307688801349,58289.297644766826,278.1224701174561,0.00567897895905889,53072.8461552381,282.6968124499053,281.0025956458451,0.009919852318419591,66618.74505250002,5017.2868473223325,0.12704828699317455,281.6368264051785,280.0548918028774,0.009293769901491979,64087.78650029388,2126.358797270113,0.0897888201505644,0.00038500000000000003
3500.0,66575.70443090399,278.7644978575171,277.4496020143273,0.007797471561094203,58188.8809535934,277.8198960175225,0.005594122805117334,53044.99450925552,282.44133091253974,280.7655582399165,0.00982014331111888,66618.74505250002,5017.2868473223325,0.12939141299193813,281.35557076370446,279.7937884019418,0.009183939166052231,64038.21926874113,2126.358797270113,0.09118243321891771,0.00038333333333333334
3550.0,66168.84492345662,278.44605464119167,277.1519157231904,0.00768262377807431,58090.289796743586,277.5166668821524,0.005510035926554201,53018.452218409715,282.18518521096263,280.52778427628846,0.009720715914200422,66618.74505250002,5017.2868473223325,0.13173420947450842,281.0734434237273,279.5317138169306,0.00907452034249145,63988.74975732344,2126.358797270113,0.09256616686448779,0.00038166666666666666
3600.0,65764.0107870899,278.1271021754261,276.85351622377084,0.007568760612449101,57993.502229623715,277.2127707142611,0.005426714616887064,52993.19741601435,281.9283678462228,280.2892657406369,0.009621573360871606,66618.74505250002,5017.2868473223325,0.13407688764899603,280.7904359501224,279.2686586533351,0.008965519402707492,63939.383418398334,2126.358797270113,0.09394015946454268,0.00038
3650.0,65361.193504427254,277.80762738470577,276.5543914934242,0.007455878430754397,57898.49643816514,276.9081954113952,0.005344155246468405,52969.20832605401,281.6708712255998,280.0499945192533,0.009522718924883707,66618.74505250002,5017.2868473223325,0.13641966002138953,280.506539764456,279.0046133752782,0.008856942328225387,63890.125581387605,2126.358797270113,0.09530454831136004,0.0003783333333333334
3700.0,64960.384573326606,277.48761710469216,276.25452940214876,0.007343973692759634,57805.25073804437,276.60292876655717,0.005262354261885555,52946.46326239349,281.41268766173374,279.80996239814425,0.009424155920910261,66618.74505250002,5017.2868473223325,0.13876274035698868,280.2217461445206,278.7395683049694,0.008748795110811773,63840.981453738605,2126.358797270113,0.09665946956687903,0.00037666666666666664
3750.0,64561.57550701161,277.16705808297394,275.9539177135427,0.007233042950833788,57713.743573919615,276.29695846914507,0.005181308185335005,52924.940628037846,281.15380937177093,279.56916106214766,0.009325887704919983,66618.74505250002,5017.2868473223325,0.14110634363839292,279.9360462239202,278.4735136222162,0.008641083753063074,63791.95612187755,2126.358797270113,0.09800505821492984,0.000375
3800.0,64164.757834203985,276.8459369799314,275.65254408588254,0.007123082849269094,57623.953518684335,275.990272106009,0.005101013613969029,52904.61891444146,280.89422847652384,279.3275820940662,0.009227917674542941,66618.74505250002,5017.2868473223325,0.14345068601982197,279.6494309917147,278.2064393639999,0.008533814268966648,63743.05455215527,2126.358797270113,0.0993414480111652,0.0003733333333333334
3850.0,63769.92309925584,276.52424036972104,275.35039607332914,0.007014090123561102,57535.85927273847,275.68285716263324,0.005021467219214327,52885.476700873194,280.6339369996492,279.08521697381997,0.009130249269429451,66618.74505250002,5017.2868473223325,0.14579598477765135,279.3618912921236,277.9383354241175,0.008426992684432475,63694.281591785555,2126.358797270113,0.10066877143048823,0.00037166666666666663
3900.0,63377.062862283405,276.20195474138603,275.047461127267,0.006906061599642553,57449.43966327797,275.3747010244485,0.004942665746060167,52867.49265383654,280.37292686684503,278.84205707762067,0.009032885971600745,66618.74505250002,5017.2868473223325,0.1481424582569103,279.0734178242962,277.6691915528967,0.008320625037794113,63645.64196977645,2126.358797270113,0.10198715961197324,0.00037
