z,p,T_rho,T,qv,h,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent
550.0,94461.67567532294,297.2513410807044,295.1709263736847,0.011596392067629968,56765.232711822384,295.5617612329188,0.009367286572115207,51544.040875030754,297.2513410807044,295.1709263736847,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,297.2513410807044,295.5617612329188,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
600.0,93920.19783540051,296.76503010515034,294.6880190110532,0.011596392067629968,56765.232711822384,295.11408268765723,0.009169185416093963,51081.47443556402,296.76503010515034,294.6880190110532,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,296.76503010515034,295.11408268765723,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
650.0,93380.94418159488,296.27871912959637,294.2051116484217,0.011596392067629968,56765.232711822384,294.6657287942766,0.008974156705230281,50626.118184700084,296.27871912959637,294.2051116484217,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,296.27871912959637,294.6657287942766,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
700.0,92843.90920310051,295.79240815404233,293.72220428579016,0.011596392067629968,56765.232711822384,294.21670612002873,0.008782179101541793,50177.921791843764,295.79240815404233,293.72220428579016,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,295.79240815404233,294.21670612002873,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
750.0,92309.08739375364,295.3060971784883,293.2392969231586,0.011596392067629968,56765.232711822384,293.7670212845344,0.008593230863964504,49736.83398229082,295.3060971784883,293.2392969231586,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,295.3060971784883,293.7670212845344,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
800.0,91776.47325203681,294.81978620293427,292.75638956052705,0.011596392067629968,56765.232711822384,293.3166809573055,0.008407289857917737,49302.80255984421,294.81978620293427,292.75638956052705,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,294.81978620293427,293.3166809573055,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
850.0,91246.06128108199,294.3334752273803,292.27348219789553,0.011596392067629968,56765.232711822384,292.8656918552446,0.00822433356509069,48875.77442994868,294.3334752273803,292.27348219789553,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,294.3334752273803,292.8656918552446,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
900.0,90717.84598867457,293.84716425182626,291.790574835264,0.011596392067629968,56765.232711822384,292.414060740122,0.008044339093439613,48455.69562331465,293.84716425182626,291.790574835264,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,293.84716425182626,292.414060740122,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
950.0,90191.82188725675,293.3608532762723,291.3076674726325,0.011596392067629968,56765.232711822384,291.9617944160346,0.00786728318738685,48042.51132001355,293.3608532762723,291.3076674726325,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,293.3608532762723,291.9617944160346,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
1000.0,89667.98349393178,292.87454230071825,290.82476011000097,0.011596392067629968,56765.232711822384,291.5088997268472,0.007693142238210744,47636.16587401581,292.87454230071825,290.82476011000097,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,292.87454230071825,291.5088997268472,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
1050.0,89146.32533046715,292.38823132516427,290.34185274736944,0.011596392067629968,56765.232711822384,291.0553835536203,0.007521892294617008,47236.60283815176,292.38823132516427,290.34185274736944,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,292.38823132516427,291.0553835536203,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
1100.0,88626.84192329904,291.90192034961024,289.8589453847379,0.011596392067629968,56765.232711822384,290.6012528120254,0.007353509073479947,46843.76498946593,291.90192034961024,289.8589453847379,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,291.90192034961024,290.6012528120254,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
1150.0,88109.52780353537,291.41560937405626,289.3760380221064,0.011596392067629968,56765.232711822384,290.1465144497522,0.007187967970744467,46457.59435494612,291.41560937405626,289.3760380221064,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,291.41560937405626,290.1465144497522,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
