z,T_rho,T,p,qv,qsat,ql,qi,h,T_env,q_env,h_env,ent
1550.0,290.9545083927497,288.6523021723098,84114.75041649594,0.013122474897003576,0.013122474897003576,0.0,0.0,63791.29832610133,289.27725418292374,0.009539621799390708,55416.24439682478,0.0003225806451612903
1600.0,290.66567574743607,288.3907182527789,83622.17929702219,0.01297892017160426,0.01297892017160426,0.0,0.0,63654.83520706618,289.0088585489911,0.009432134662720502,55364.30732551966,0.0003125
1650.0,290.37801609280893,288.1299278294047,83132.00747599038,0.012837236464664482,0.012837236464664482,0.0,0.0,63523.94746308596,288.7413396658525,0.009326107419464333,55316.979803356764,0.00030303030303030303
1700.0,290.09141754993084,287.8698384819178,82644.2275990466,0.012697322894317185,0.012697322894317185,0.0,0.0,63398.285987138406,288.4746006856875,0.009221462464286748,55273.96728606891,0.0002941176470588235
1750.0,289.80577776161704,287.6103655105281,82158.83211763688,0.01255908797360229,0.01255908797360229,0.0,0.0,63277.53327684489,288.208552895129,0.009118129402423692,55235.001714342216,0.00028571428571428574
1800.0,289.52100277796035,287.35143103124267,81675.81330904637,0.012422448516874681,0.012422448516874681,0.0,0.0,63161.39974940386,287.9431147625548,0.009016044209327575,55199.83842230527,0.0002777777777777778
1850.0,289.23700609831417,287.0929631979729,81195.16329416419,0.012287328700878545,0.012287328700878545,0.0,0.0,63049.62057653254,287.6782111189468,0.00891514850922943,55168.25348223536,0.0002702702702702703
1900.0,288.9537078441305,286.83489553071314,80716.87405328552,0.012153659255026258,0.012153659255026258,0.0,0.0,62941.95295396494,287.413772450487,0.008815388953030101,55140.04141379821,0.0002631578947368421
1950.0,288.67103404180006,286.5771663329124,80240.93744021677,0.012021376760171164,0.012021376760171164,0.0,0.0,62838.173735973025,287.14973428510217,0.008716716679587792,55115.013199484325,0.0002564102564102564
2000.0,288.38891599841503,286.3197181842087,79767.3451949036,0.011890423038929667,0.011890423038929667,0.0,0.0,62738.07737800181,286.8860366583902,0.00861908684737147,55092.994558510254,0.00025
2050.0,288.1072897563858,286.0624974971327,79296.08895477132,0.01176074462361295,0.01176074462361295,0.0,0.0,62641.47414058456,286.62262364691975,0.00852245822575788,55073.824439889344,0.00024390243902439024
2100.0,287.8260956152628,285.80545412834323,78827.1602649366,0.011632292290238122,0.011632292290238122,0.0,0.0,62548.18851578721,286.35944295896286,0.00842679283710733,55057.35370216897,0.0002380952380952381
2150.0,287.5452777110727,285.54854103654134,78360.55058742703,0.01150502064903732,0.01150502064903732,0.0,0.0,62458.05784396903,286.0964455743883,0.008332055642251038,55043.44395281312,0.00023255813953488373
2200.0,287.2647836450676,285.29171398049715,77896.25130952605,0.011378887783462134,0.011378887783462134,0.0,0.0,62370.93109394796,285.83358542679605,0.008238214263236938,55031.966524650124,0.00022727272727272727
2250.0,286.9845641550841,285.03493125167347,77434.25375134376,0.011253854930970359,0.011253854930970359,0.0,0.0,62286.6677839882,285.5708191220858,0.008145238738174874,55022.80157044936,0.00022222222222222223
2300.0,286.7045728237768,284.7781534367958,76974.54917270067,0.011129886199940675,0.011129886199940675,0.0,0.0,62205.13702458398,285.3081056885586,0.00805310130383363,55015.83725965995,0.0002173913043478261
2350.0,286.4247658188707,284.52134320642995,76517.12877940065,0.011006948317931675,0.011006948317931675,0.0,0.0,62126.21666693938,285.04540635440486,0.007961776202314561,55010.96906381285,0.0002127659574468085
2400.0,286.1451016613051,284.26446512621976,76061.98372895803,0.010885010407223816,0.010885010407223816,0.0,0.0,62049.79254347073,284.782684349051,0.007871239508679241,55008.09911910996,0.00020833333333333335
2450.0,285.86554101775033,284.00748548792853,75609.10513583674,0.010764043784182123,0.010764043784182123,0.0,0.0,61975.757788673945,284.5199047253587,0.0077814689768722035,55007.13565642819,0.00020408163265306123
2500.0,285.58604651448246,283.7503721578393,75158.4840762518,0.010644021779479228,0.010644021779479228,0.0,0.0,61904.01223038469,284.2570342001,0.0076924439016630205,55007.99249036944,0.0002
