CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_std
0.0,0.0,0.0,-2.1237246499294997,0.006691839602623936,0.0,0.02,4250.0,0.0,
743.7098791863483,357.2227911997935,173.69997745343048,-2296.197388617853,0.006459251539539687,1.0,0.02,4200.0,2.907394113424264e-05,3.571405101798351e-06
1330.6526966967435,554.0556032891883,262.37440441870893,-4123.55662292699,0.006292086091963942,2.0,0.02,4200.0,5.635319454414931e-05,7.142810203596702e-06
1824.941267869434,662.3093444731818,301.2244321465061,-5633.115127091529,0.0061397172228359245,3.0,0.02,4200.0,8.34529791816224e-05,1.0714215305395053e-05
2259.1672824440743,718.0450477686552,312.78115005824486,-6916.103567432518,0.005998381953987668,4.0,0.02,4200.0,0.00010983488872936108,1.4285620407193404e-05
2651.541311175632,741.2456364810346,308.8125673864273,-8030.790066827656,0.005866327727217653,5.0,0.02,4200.0,0.00013639626704953337,1.7857025508991758e-05
3012.830643762013,743.8844901038552,296.4642906531273,-9016.048114925397,0.005742682696584143,6.0,0.02,4200.0,0.0001615218951902369,2.1428430610790107e-05
3350.47992580858,733.0799941644887,279.2275334947404,-9900.823388863275,0.005625407172157553,7.0,0.02,4200.0,0.0001871859296482412,2.4999835712588462e-05
3668.494270955635,713.8249963566204,260.26052106409696,-10704.139492112197,0.005490148630143887,8.0,0.02,4150.0,0.0002124910265613783,2.8571240814386808e-05
3970.61214224735,689.2536160767397,240.78951583534302,-11440.922736589891,0.0053861744356150185,9.0,0.02,4150.0,0.00023743718592964823,3.214264591618516e-05
4259.7465182308115,661.3982234546615,221.8533388266221,-12123.588203237989,0.005286815704575637,10.0,0.02,4150.0,0.00026381909547738695,3.5714051017983516e-05
4536.749962889664,632.0489742672701,205.4797701320708,-12758.732531521498,0.005192551188788739,11.0,0.02,4150.0,0.000288226848528356,3.9285456119781865e-05
4803.070653396498,602.0619347211571,191.70634896879082,-13353.438288309757,0.005102415966976881,12.0,0.02,4150.0,0.000312275664034458,4.2856861221580214e-05
5060.5564167543735,572.1917997499122,179.54520064774323,-13915.116980376733,0.005015901454662774,13.0,0.02,4150.0,0.00033829863603732947,4.642826632337856e-05
5310.046291097508,543.0292483760211,168.53720051040492,-14447.477102139492,0.004932503355742146,14.0,0.02,4150.0,0.00036180904522613067,4.9999671425176925e-05
5551.5085739798515,515.3585838157467,159.046595869421,-14953.4969187928,0.004852751244878659,15.0,0.02,4150.0,0.0003876525484565685,5.357107652697526e-05
5785.6570042816375,490.1055291509557,150.67570347507998,-15434.73698053418,0.004776689150063156,16.0,0.02,4150.0,0.00041062455132806887,5.7142481628773616e-05
6014.174139282443,466.9652661860517,142.79616662672157,-15896.931863109545,0.004702745143453948,17.0,0.02,4150.0,0.0004362885857860732,6.071388673057197e-05
6235.507579446987,446.15987587633117,136.15534133990434,-16337.463276923518,0.00463225468022503,18.0,0.02,4150.0,0.00045872218234027277,6.428529183237032e-05
6452.244521925426,426.8576408904237,129.52106728235015,-16765.12572980381,0.004563529135033508,19.0,0.02,4150.0,0.00048420674802584346,6.785669693416867e-05
6663.662239493663,409.1945612205456,123.90680489292265,-17175.22923417299,0.0044819933551570315,20.0,0.02,4100.0,0.0005061019382627423,7.142810203596703e-05
6869.258707545382,393.04861416503223,118.69563956818797,-17570.64369626646,0.004419044226084334,21.0,0.02,4100.0,0.0005314070351758794,7.499950713776538e-05
7070.156574660001,378.09479182371786,113.8307192562907,-17954.59521865021,0.004358041520009483,22.0,0.02,4100.0,0.0005567121320890164,7.857091223956373e-05
7267.09591691097,364.2428252582145,109.39634192824757,-18326.151312798225,0.004298912184112921,23.0,0.02,4100.0,0.0005778894472361809,8.214231734136206e-05
7459.317163543294,351.2637160274293,105.27381826686853,-18686.96219814042,0.004241404740445914,24.0,0.02,4100.0,0.0006030150753768845,8.571372244316043e-05
7647.6038589801,339.1565335663017,101.42479444449982,-19036.895673598003,0.004185682247031146,25.0,0.02,4100.0,0.000628140703517588,8.928512754495879e-05
7832.172595981662,328.1071893962966,97.92223409638848,-19376.377692624665,0.004132622059141005,26.0,0.02,4100.0,0.0006486001435750179,9.285653264675712e-05
8012.426539248133,317.67250132398493,94.76821275263578,-19706.058592510082,0.004080713313351173,27.0,0.02,4100.0,0.0006735463029432878,9.642793774855549e-05
8188.853343475804,307.74260888072996,91.57886372349613,-20027.45516043334,0.004029994433622344,28.0,0.02,4100.0,0.0006984924623115578,9.999934285035385e-05
8362.634948058852,298.5276161746762,88.79635279432911,-20342.195121652694,0.003981000785811153,29.0,0.02,4100.0,0.0007182340272792534,0.0001035707479521522
8534.30432538023,289.53843685304986,85.78372143603549,-20652.229398049945,0.0039321170345899764,30.0,0.02,4100.0,0.0007430007178750896,0.00010714215305395052
0.0,0.0,0.0,-2.1237246499294997,0.006390630270892692,0.0,0.06041666666666666,4250.0,0.0,
711.2053202184312,341.50465765465304,166.04002203815608,-2196.2409265991955,0.006176993689716831,1.0,0.06041666666666666,4200.0,2.907394113424264e-05,3.571405101798351e-06
1273.6228570665546,530.0245189088556,250.95157215422162,-3948.5731858150975,0.006024363042136703,2.0,0.06041666666666666,4200.0,5.635319454414931e-05,7.142810203596702e-06
1748.2059180055828,633.9956769241155,288.28107375336975,-5399.727200487105,0.005884933193055152,3.0,0.06041666666666666,4200.0,8.34529791816224e-05,1.0714215305395053e-05
2165.9056815181643,687.7839880178224,299.5104432379106,-6635.980015015462,0.005755332531615206,4.0,0.06041666666666666,4200.0,0.00010983488872936108,1.4285620407193404e-05
2543.989096807999,710.4337105421675,295.86396404578005,-7712.45610665506,0.005634007929153821,5.0,0.06041666666666666,4200.0,0.00013639626704953337,1.7857025508991758e-05
2892.6474714843635,713.3645340947688,284.1617851801372,-8665.925778537472,0.005520200711207925,6.0,0.06041666666666666,4200.0,0.0001615218951902369,2.1428430610790107e-05
3218.9500459168908,703.379346950808,267.7432660070756,-9523.862169390137,0.005412070502148101,7.0,0.06041666666666666,4200.0,0.0001871859296482412,2.4999835712588462e-05
3526.655824433931,685.244261720526,249.63521639565516,-10304.123728909508,0.005285839871112026,8.0,0.06041666666666666,4150.0,0.0002124910265613783,2.8571240814386808e-05
3819.311096328084,661.9581841801793,231.01440214813414,-11021.080641451568,0.0051896816772707775,9.0,0.06041666666666666,4150.0,0.00023743718592964823,3.214264591618516e-05
4099.683277952171,635.4699844211002,212.8602802289546,-11686.465819429039,0.005097654503687483,10.0,0.06041666666666666,4150.0,0.00026381909547738695,3.5714051017983516e-05
4368.537470757659,607.501613537685,197.1468317744566,-12306.386437468507,0.005010220380447101,11.0,0.06041666666666666,4150.0,0.000288226848528356,3.9285456119781865e-05
4627.254415658342,578.8833208916274,183.9257170502737,-12887.670299854457,0.004926504544979896,12.0,0.06041666666666666,4150.0,0.000312275664034458,4.2856861221580214e-05
4877.593742168338,550.322563611646,172.25859198673646,-13437.363228708746,0.004846045529820868,13.0,0.06041666666666666,4150.0,0.00033829863603732947,4.642826632337856e-05
5120.348117101093,522.404337543878,161.69184047506994,-13958.997392727179,0.004768389478090362,14.0,0.06041666666666666,4150.0,0.00036180904522613067,4.9999671425176925e-05
5355.4580445998645,495.86769642909866,152.58061350434656,-14455.280891481321,0.0046940354015828755,15.0,0.06041666666666666,4150.0,0.0003876525484565685,5.357107652697526e-05
5583.584379546896,471.5827749161055,144.54632685937196,-14927.759828065064,0.00462303847786391,16.0,0.06041666666666666,4150.0,0.00041062455132806887,5.7142481628773616e-05
