CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_std
0.0,0.0,0.0,-2.1237246499294997,0.006691839602623936,0.0,0.02,4250.0,0.0,
771.5615079502344,179.69639879211599,3.1006757088788466,-2325.7294472711365,0.0063788809765520545,1.0,0.02,4200.0,3.5534816941852114e-05,4.9992069978937835e-06
1426.7765912880832,246.16111558122827,3.3438482552759208,-4231.48849678252,0.006134428269189693,2.0,0.02,4200.0,7.071069633883703e-05,9.998413995787567e-06
2011.1472611486147,258.0543172788106,3.2810891602013283,-5852.259820847088,0.005912776532592447,3.0,0.02,4200.0,0.00010606604450825557,1.4997620993681352e-05
2546.3432825664972,242.811086482101,3.8332351753806995,-7267.718179043724,0.0057100248063593866,4.0,0.02,4200.0,0.00014142139267767407,1.9996827991575134e-05
3044.040171265331,215.0950752065802,4.4846386710067305,-8528.537995809325,0.005523411433189987,5.0,0.02,4200.0,0.00017587939698492463,2.4996034989468922e-05
3511.3319726262494,185.7165567044646,4.112103464191891,-9668.027379570864,0.005351313802076331,6.0,0.02,4200.0,0.00021105527638190955,2.9995241987362704e-05
3953.0307947523447,162.42597537686922,4.661397957986602,-10710.740045036742,0.005170692486136849,7.0,0.02,4150.0,0.00024623115577889447,3.499444898525649e-05
4372.499358114185,144.53259002453353,5.132725149964105,-11673.27568526772,0.005023695062520233,8.0,0.02,4150.0,0.00028140703517587936,3.999365598315027e-05
4771.971395108765,130.0548809117291,4.099068852469128,-12568.697715140319,0.00488604920721446,9.0,0.02,4150.0,0.0003165829145728643,4.499286298104405e-05
5154.468799045525,117.99226646120123,4.314184625654708,-13407.964006015296,0.004756663855394788,10.0,0.02,4150.0,0.0003499641062455133,4.9992069978937845e-05
5519.579923244076,108.47168070580925,4.638223007009479,-14195.990558863261,0.004636036430895174,11.0,0.02,4150.0,0.0003849605168700646,5.4991276976831616e-05
5870.798696136296,99.93299775817704,2.9947630381871395,-14941.692032358915,0.0045216070740915345,12.0,0.02,4150.0,0.0004199569274946159,5.999048397472541e-05
6207.855053335074,92.95709139357429,3.007614918593632,-15647.259585920474,0.004414386608340604,13.0,0.02,4150.0,0.00045495333811916723,6.498969097261918e-05
6532.514626052758,86.74300452882967,2.9932479674519743,-16318.532478321875,0.004312759916526088,14.0,0.02,4150.0,0.0004899497487437187,6.998889797051298e-05
