CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_std
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0,
2130.823528827582,248.73243997453167,9.569157849702375,-5331.140386864812,0.008477857443574977,1.0,0.02,4300.0,6.927494615936826e-05,7.1420550219669e-06
3760.006994826046,177.60071215216053,5.760859460837078,-8464.584532229994,0.007517301345174853,2.0,0.02,4250.0,0.00013783201722900214,1.42841100439338e-05
5150.735337707773,119.03270279996717,4.107746544129372,-10579.083712663582,0.006773178765510749,3.0,0.02,4250.0,0.00020567121320890164,2.14261650659007e-05
6387.949128007891,89.64677794947112,3.151003299532378,-12129.074949738271,0.006128085587935938,4.0,0.02,4200.0,0.00027279253409906673,2.85682200878676e-05
7509.218609400159,72.03804856111047,2.5921738973103383,-13328.16101504099,0.005608217942652958,5.0,0.02,4200.0,0.00034099066762383344,3.5710275109834506e-05
8536.886811109833,60.23426133748338,2.1831636819870845,-14291.079484601498,0.005162314471992684,6.0,0.02,4200.0,0.00040703517587939697,4.28523301318014e-05
9486.585945923849,51.75816656500523,1.9074548836478067,-15085.310198067935,0.004760766506826522,7.0,0.02,4150.0,0.00047487437185929647,4.999438515376831e-05
10369.36949926505,45.31346548209139,1.679590022643545,-15754.380172675883,0.004424168764754569,8.0,0.02,4150.0,0.0005427135678391959,5.71364401757352e-05
11191.350131951747,40.395309027066126,1.510619713593904,-16320.387479948411,0.004129386725006534,9.0,0.02,4150.0,0.0006073223259152907,6.427849519770211e-05
11964.276039800083,36.4293819008402,1.376130476537267,-16812.59490728766,0.003865952470929227,10.0,0.02,4150.0,0.0006748025843503231,7.142055021966901e-05
12687.029844823577,33.17683439123176,1.2482513108770539,-17233.201333927347,0.003623453073149982,11.0,0.02,4100.0,0.0007383345297918161,7.85626052416359e-05
13372.077885756757,30.369153357905837,1.0991700787697627,-17602.334666793984,0.0034133593906246085,12.0,0.02,4100.0,0.0008054558506819813,8.57046602636028e-05
14017.942090250843,28.077219041572953,1.0506096662075688,-17928.55178604951,0.0032235799856439066,13.0,0.02,4100.0,0.0008725771715721463,9.28467152855697e-05
14629.22976070591,26.158562553494626,0.9937555596140335,-18211.588394842474,0.0030526928122354894,14.0,0.02,4100.0,0.0009346733668341709,9.998877030753662e-05
15209.448227650355,24.443371216378598,0.8899600034784303,-18461.97831373367,0.002897070519623007,15.0,0.02,4100.0,0.0010014357501794686,0.0001071308253295035
15762.99208655724,22.94833912281986,0.8446639769693646,-18684.385380489646,0.0027481421925956966,16.0,0.02,4050.0,0.0010681981335247666,0.0001142728803514704
16288.204835919603,21.61763069636262,0.7864429795392327,-18874.61860642194,0.0026184367421643383,17.0,0.02,4050.0,0.0011349605168700645,0.0001214149353734373
16790.82473701882,20.46637628022494,0.7598808179014394,-19041.780743021936,0.0024993206358556235,18.0,0.02,4050.0,0.001195262024407753,0.00012855699039540422
17271.7637066461,19.361598118416527,0.6907588285991422,-19188.597997650668,0.0023884273253963876,19.0,0.02,4050.0,0.0012616654702081837,0.00013569904541737112
17732.81270958325,18.44053329625396,0.6929612244944588,-19324.429318462175,0.00228475994204344,20.0,0.02,4050.0,0.0013280689160086146,0.00014284110043933802
18174.05126904197,17.57519232065454,0.6431939038883334,-19436.54145518451,0.002190263043679348,21.0,0.02,4050.0,0.0013944723618090453,0.00014998315546130493
18595.934557212888,16.833494797248466,0.6245191734551537,-19529.374767311376,0.0020994130010751205,22.0,0.02,4000.0,0.0014608758076094758,0.0001571252104832718
19003.945508765664,16.113965863369202,0.6058760960427394,-19614.424077946325,0.0020175171190655863,23.0,0.02,4000.0,0.0015190236898779612,0.00016426726550523873
19397.03485893781,15.392696706283063,0.5644930766898207,-19688.6102990913,0.0019411292758585946,24.0,0.02,4000.0,0.0015850681981335248,0.0001714093205272056
19775.73699470357,14.850206059314111,0.5479890237629941,-19745.909982754725,0.0018695329228301868,25.0,0.02,4000.0,0.0016511127063890882,0.00017855137554917254
20140.242647470517,14.255242265300474,0.5236316460107556,-19791.114698370573,0.0018013982787985971,26.0,0.02,4000.0,0.0017171572146446516,0.0001856934305711394
20493.262865190347,13.795290386638964,0.49900360592630233,-19835.72042103074,0.0017389069547795635,27.0,0.02,4000.0,0.001773510409188801,0.0001928354855931063
20833.321165213583,13.289364336878235,0.4757911345762555,-19860.370912801314,0.001680477996456896,28.0,0.02,4000.0,0.0018391959798994975,0.00019997754061507324
21159.912768769187,12.843035796420565,0.44551917534334756,-19879.665115422627,0.0016254382237798576,29.0,0.02,4000.0,0.0019048815506101937,0.0002071195956370401
21478.507092008942,12.435102654421728,0.44796011237175143,-19890.337054958185,0.0016449459329878938,30.0,0.02,4000.0,0.00197056712132089,0.000214261650659007
0.0,0.0,0.0,-2.628212131370674,0.009211635857417326,0.0,0.06041666666666666,4300.0,0.0,
2039.830148659139,237.62111963456297,9.150378158795446,-5117.282650535977,0.00813651888914379,1.0,0.06041666666666666,4300.0,6.927494615936826e-05,7.1420550219669e-06
3609.8216489516985,169.86677712778632,5.511642418173856,-8166.869288938797,0.00725172600452319,2.0,0.06041666666666666,4250.0,0.00013783201722900214,1.42841100439338e-05
4956.496163713938,113.79272371195043,3.9305273122561935,-10252.26408182564,0.0065627615871909,3.0,0.06041666666666666,4250.0,0.00020567121320890164,2.14261650659007e-05
6158.858661302198,85.67558995583295,3.0145317137051473,-11799.325865725346,0.005959825282742174,4.0,0.06041666666666666,4200.0,0.00027279253409906673,2.85682200878676e-05
7251.644817032124,68.82689017183166,2.4814804184880463,-13009.33016389895,0.005472467127219169,5.0,0.06041666666666666,4200.0,0.00034099066762383344,3.5710275109834506e-05
8255.543404079857,57.53973735791633,2.08938002251392,-13990.442907581768,0.005052286092629426,6.0,0.06041666666666666,4200.0,0.00040703517587939697,4.28523301318014e-05
9185.106513948322,49.4353842278582,1.8263052466624983,-14806.42910364599,0.004686517380673621,7.0,0.06041666666666666,4200.0,0.00047487437185929647,4.999438515376831e-05
10050.669255443767,43.273967727323814,1.6081365957777292,-15499.441333875991,0.004351300609031479,8.0,0.06041666666666666,4150.0,0.0005427135678391959,5.71364401757352e-05
10857.768139212532,38.57503413712781,1.4455434628931307,-16090.117276665245,0.004070139797840321,9.0,0.06041666666666666,4150.0,0.0006073223259152907,6.427849519770211e-05
11617.72889542807,34.78596133952546,1.3171177582835825,-16607.063373741687,0.003818048007169779,10.0,0.06041666666666666,4150.0,0.0006748025843503231,7.142055021966901e-05
12329.17393212838,31.680219640779878,1.194774115852424,-17051.9019703019,0.0035940291799919353,11.0,0.06041666666666666,4150.0,0.0007383345297918161,7.85626052416359e-05
13004.240843295214,28.997104926775094,1.0521229103542262,-17444.75876650832,0.0033825079930207935,12.0,0.06041666666666666,4100.0,0.0008054558506819813,8.57046602636028e-05
13641.325768667935,26.804596576869482,1.0049044709431894,-17794.097870236692,0.0031994142240287125,13.0,0.06041666666666666,4100.0,0.0008725771715721463,9.28467152855697e-05
14244.76849870896,24.971329329543124,0.9514470763077018,-18099.18060395219,0.0030341681455238723,14.0,0.06041666666666666,4100.0,0.0009346733668341709,9.998877030753662e-05
