CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0
,,,-5330.364648358183,0.00845425894210804,1.0,0.02,4300.0,0.00010337401292175163
,,,-8229.320619192287,0.007725022441404756,2.0,0.02,4250.0,0.0002038765254845657
,,,-9924.661838388456,0.007224404245217735,3.0,0.02,4250.0,0.00030150753768844223
,,,-10939.401412599378,0.006797628814070445,4.0,0.02,4200.0,0.00040201005025125634
,,,-11547.401321325597,0.00647246028456155,5.0,0.02,4200.0,0.0004953338119167266
,,,-11894.218945613953,0.006197672521791896,6.0,0.02,4200.0,0.0005857860732232591
,,,-12071.116376567406,0.005957508272793019,7.0,0.02,4200.0,0.0006733668341708544
,,,-12126.594525015811,0.005716829145439646,8.0,0.02,4150.0,0.0007695620961952622
,,,-12088.05011474275,0.005533353114672567,9.0,0.02,4150.0,0.0008528356066044509
,,,-12020.11005311444,0.005359561541218737,10.0,0.02,4150.0,0.0009332376166547023
,,,-11897.704293895971,0.005206965341466696,11.0,0.02,4150.0,0.0010265613783201723
,,,-11735.75611860396,0.005068316139857215,12.0,0.02,4150.0,0.001102656137832017
,,,-11583.449101986349,0.004935419605709276,13.0,0.02,4150.0,0.0011945441493180187
,,,-11402.064129233477,0.0047934361815191815,14.0,0.02,4100.0,0.0012663316582914572
,,,-11193.302715665333,0.004685360611118099,15.0,0.02,4100.0,0.0013567839195979896
,,,-11018.469883731908,0.004577750396462246,16.0,0.02,4100.0,0.0014242641780330225
,,,-10811.21670093458,0.00448545165199255,17.0,0.02,4100.0,0.001513280689160086
,,,-10596.833689730302,0.0044006363654828465,18.0,0.02,4100.0,0.0015764536970567123
,,,-10431.350900078396,0.004306297833179613,19.0,0.02,4100.0,0.0016640344580043072
,,,-10212.611546369779,0.004227776785203632,20.0,0.02,4100.0,0.0017229002153625274
,,,-10036.39507839844,0.0041536108164374926,21.0,0.02,4100.0,0.0018090452261306533
,,,-9855.893335591012,0.0040763920767389146,22.0,0.02,4100.0,0.0018636037329504665
,,,-9693.873112167363,0.004007929966345688,23.0,0.02,4100.0,0.001948312993539124
,,,-9467.315035156847,0.003947239323431539,24.0,0.02,4100.0,0.001998564249820531
,,,-9274.608975642645,0.0038782351396732073,25.0,0.02,4050.0,0.00208183776022972
,,,-9145.4567366864,0.00380930486050837,26.0,0.02,4050.0,0.002165111270638909
,,,-8990.072297971776,0.0037578839002765933,27.0,0.02,4050.0,0.002209619526202441
,,,-8790.873216837368,0.003703222289147478,28.0,0.02,4050.0,0.002291457286432161
,,,-8595.85227361368,0.0036517071828820464,29.0,0.02,4050.0,0.0023732950466618815
,,,-8467.091475413334,0.00360351066375937,30.0,0.02,4050.0,0.0024120603015075374
0.0,0.0,0.0,-2.628212131370674,0.009216223756612723,0.0,0.06,4300.0,0.0
,,,-5119.040379770515,0.008118888976126264,1.0,0.06,4300.0,0.00010337401292175163
,,,-7934.373109595923,0.007447005524803415,2.0,0.06,4250.0,0.0002038765254845657
,,,-9600.152466182197,0.006984940434896224,3.0,0.06,4250.0,0.00030150753768844223
,,,-10611.642824133458,0.00662160531374706,4.0,0.06,4250.0,0.00040201005025125634
,,,-11230.533576731097,0.006284871344807473,5.0,0.06,4200.0,0.0004953338119167266
