CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_spec,a,b
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",,10
2117.4458407839293,1695.4754122793377,20.079665680092283,-5315.237676838937,0.008513217078867444,1.0,0.02,4300.0,7.142857142857142e-05,"[0.00000000e+00 7.13013233e-06 1.42602647e-05 2.13903970e-05
 2.85205293e-05 3.56506616e-05 4.27807940e-05 4.99109263e-05
 5.70410586e-05 6.41711910e-05]",130386666.66666669,10
3667.192211967065,2730.5061692506947,20.861996825305294,-8372.000106773463,0.007619140181505017,2.0,0.02,4250.0,0.00014285714285714284,"[0.00000000e+00 1.42349355e-05 2.84698711e-05 4.27048066e-05
 5.69397422e-05 7.11746777e-05 8.54096132e-05 9.96445488e-05
 1.13879484e-04 1.28114420e-04]",65193333.33333334,10
4916.090077843076,3420.0127767043837,19.64281617828846,-10339.886339474811,0.0069544250005516015,3.0,0.02,4250.0,0.00021320890165111268,"[0.00000000e+00 2.13145889e-05 4.26291779e-05 6.39437668e-05
 8.52583558e-05 1.06572945e-04 1.27887534e-04 1.49202123e-04
 1.70516712e-04 1.91831301e-04]",43462222.22222223,10
5968.970266360329,3881.569232991645,18.180211154936618,-11686.24502796527,0.006385986621634858,4.0,0.02,4200.0,0.0002842785355348169,"[0.0000000e+00 2.8369270e-05 5.6738540e-05 8.5107810e-05 1.1347708e-04
 1.4184635e-04 1.7021562e-04 1.9858489e-04 2.2695416e-04 2.5532343e-04]",32596666.66666667,10
6882.448826458466,4189.996965797287,16.784548659008443,-12642.758050988894,0.005939160118347466,5.0,0.02,4200.0,0.00035534816941852116,"[0.00000000e+00 3.53991542e-05 7.07983084e-05 1.06197463e-04
 1.41596617e-04 1.76995771e-04 2.12394925e-04 2.47794079e-04
 2.83193234e-04 3.18592388e-04]",26077333.333333336,10
7688.915347644988,4387.754134432005,15.593948658535059,-13334.774498026782,0.005560265994776373,6.0,0.02,4200.0,0.00042641780330222536,"[0.00000000e+00 4.24044153e-05 8.48088306e-05 1.27213246e-04
 1.69617661e-04 2.12022077e-04 2.54426492e-04 2.96830907e-04
 3.39235322e-04 3.81639738e-04]",21731111.111111116,10
8412.563141182367,4519.22724309808,14.244498510150319,-13845.3799426201,0.005231849573940169,7.0,0.02,4200.0,0.0004949748743718593,"[0.00000000e+00 4.93852252e-05 9.87704504e-05 1.48155676e-04
 1.97540901e-04 2.46926126e-04 2.96311351e-04 3.45696576e-04
 3.95081801e-04 4.44467027e-04]",18626666.666666668,10
9068.474779848906,4577.650689340892,13.327799288602185,-14220.558062396223,0.0049279960612502996,8.0,0.02,4150.0,0.0005656855707106963,"[0.00000000e+00 5.63417539e-05 1.12683508e-04 1.69025262e-04
 2.25367016e-04 2.81708770e-04 3.38050524e-04 3.94392278e-04
 4.50734031e-04 5.07075785e-04]",16298333.333333336,10
9665.969199533118,4589.215314435522,12.50234089591241,-14493.833210459314,0.004678216469087348,9.0,0.02,4150.0,0.0006363962670495333,"[0.00000000e+00 6.32741699e-05 1.26548340e-04 1.89822510e-04
 2.53096680e-04 3.16370849e-04 3.79645019e-04 4.42919189e-04
 5.06193359e-04 5.69467529e-04]",14487407.407407409,10
