CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_std
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0,
1922.5449225215625,1721.0428837830773,914.3538437785757,-5078.591989311506,0.009010900547430487,1.0,0.02,4300.0,6.460875807609475e-05,9.998413995787567e-06
3078.4422254940546,2655.84950071305,1347.8105305525369,-7604.079142081842,0.00853567851354008,2.0,0.02,4250.0,0.00012132089016511126,1.9996827991575134e-05
3894.884325207783,3240.9877596736255,1560.1853681643547,-8948.202508332033,0.008197805871623168,3.0,0.02,4250.0,0.00017444364680545583,2.9995241987362704e-05
4529.40659380446,3638.224259492732,1663.9388079802272,-9664.390574224875,0.007909755124955148,4.0,0.02,4250.0,0.00022541277817659725,3.999365598315027e-05
5052.754820388991,3920.802669880751,1714.8031264888948,-10019.649358768453,0.007614757250775907,5.0,0.02,4200.0,0.0002745872218234027,4.9992069978937845e-05
5502.151858178673,4127.758253831189,1732.225293272911,-10153.628595914117,0.007392764061722473,6.0,0.02,4200.0,0.00032089016511127063,5.999048397472541e-05
5898.818423751447,4281.346148841185,1731.8534656729844,-10152.43880014454,0.007190302673692694,7.0,0.02,4200.0,0.00036683417085427134,6.998889797051299e-05
6256.066265622551,4395.879200384904,1720.8591767061018,-10063.76970384051,0.0070064063177331035,8.0,0.02,4200.0,0.00041062455132806887,7.998731196630054e-05
6581.902698769314,4480.444893557667,1703.334272760378,-9917.849378909574,0.00683644741578049,9.0,0.02,4200.0,0.000455491744436468,8.998572596208812e-05
6884.333356329281,4542.183129769584,1680.8982416956212,-9742.761277455327,0.006643080882942079,10.0,0.02,4150.0,0.0004989231873653984,9.998413995787569e-05
7165.395654700614,4585.389381877429,1657.321301908279,-9545.032966455634,0.006498549623344984,11.0,0.02,4150.0,0.0005409188801148599,0.00010998255395366325
7428.691400444567,4613.467553577749,1632.6392507178805,-9330.089029040792,0.006363125344425799,12.0,0.02,4150.0,0.0005814788226848528,0.00011998096794945082
