CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
,,,-12265.156257923045,0.0035425313596345346,22.0,0.1,4100.0,0.001148959081119885
,,,-12194.688454389434,0.0034667951673156188,23.0,0.1,4100.0,0.0012011844938980617
,,,-12129.632749266806,0.0033926642290200955,24.0,0.1,4100.0,0.0012534099066762382
,,,-12050.991008058758,0.0033267981676311283,25.0,0.1,4100.0,0.001305635319454415
,,,-11966.026052680747,0.0032517701230335965,26.0,0.1,4050.0,0.0013578607322325914
,,,-11887.49078248605,0.003189962403928943,27.0,0.1,4050.0,0.001402817659727207
,,,-11813.566413424167,0.0031306848788789326,28.0,0.1,4050.0,0.0014547738693467336
,,,-11735.433014971088,0.0030757470082558754,29.0,0.1,4050.0,0.0015067300789662597
,,,-11651.932977937613,0.0030222511785179436,30.0,0.1,4050.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.008344923517191882,0.0,0.13999999999999999,4300.0,0.0
,,,-4553.471586348198,0.0076866763781939,1.0,0.13999999999999999,4300.0,5.357142857142857e-05
,,,-7119.690528723848,0.0071199389490541045,2.0,0.13999999999999999,4250.0,0.00010660445082555634
,,,-8744.35966317926,0.006688737384728614,3.0,0.13999999999999999,4250.0,0.0001599066762383345
,,,-9841.221041098288,0.006322234505202092,4.0,0.13999999999999999,4250.0,0.00021320890165111268
,,,-10610.595622044406,0.005976742170354574,5.0,0.13999999999999999,4200.0,0.0002665111270638909
,,,-11165.573360207592,0.005701654387752202,6.0,0.13999999999999999,4200.0,0.000319813352476669
,,,-11569.837997921124,0.0054577677946078765,7.0,0.13999999999999999,4200.0,0.00037123115577889453
,,,-11864.829770870121,0.0052400306788587345,8.0,0.13999999999999999,4200.0,0.0004242641780330223
,,,-12083.543847331319,0.005042324188816232,9.0,0.13999999999999999,4200.0,0.00047729720028715
,,,-12238.191812609555,0.004844223477501301,10.0,0.13999999999999999,4150.0,0.0005303302225412779
,,,-12344.863493314711,0.004682720263704721,11.0,0.13999999999999999,4150.0,0.0005833632447954057
,,,-12426.154779309341,0.0045323083601499356,12.0,0.13999999999999999,4150.0,0.0006331658291457286
,,,-12468.48292149121,0.004396538901046649,13.0,0.13999999999999999,4150.0,0.000685929648241206
,,,-12491.921734966825,0.0042688799844249085,14.0,0.13999999999999999,4150.0,0.0007386934673366835
,,,-12496.382228122377,0.004151149771511009,15.0,0.13999999999999999,4150.0,0.0007914572864321607
,,,-12486.365242393753,0.004041912825483395,16.0,0.13999999999999999,4150.0,0.0008442211055276382
,,,-12468.145252417271,0.00392348428382969,17.0,0.13999999999999999,4100.0,0.0008924084709260588
,,,-12438.107037225454,0.0038278026382004625,18.0,0.13999999999999999,4100.0,0.0009449030868628858
