CAPE_u,CAPE_ext,dh,sat_def,P,RH,dz,ent_b
0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0
2113.493584513018,1694.3845623213072,-5345.856100496341,0.008438060568353733,1.0,0.02,4300.0,7.13013232899229e-05
3628.8594899215395,2708.0490504992545,-8421.215042128308,0.0075342155359074126,2.0,0.02,4250.0,0.0001423493553772791
4820.844305428476,3358.058625207885,-10372.580873092134,0.006881656432704136,3.0,0.02,4250.0,0.00021314588947975957
5805.916472126291,3782.425799979618,-11673.815312004546,0.0063320702204638715,4.0,0.02,4200.0,0.00028369269983912767
6645.939639277831,4055.8715303090326,-12564.144341428851,0.005907502187462496,5.0,0.02,4200.0,0.0003539915419880172
7378.141656623651,4223.8806283678605,-13178.419347093179,0.005550132049753544,6.0,0.02,4200.0,0.0004240441530120581
8026.888543786888,4316.237388700512,-13599.684408548092,0.0052440156576063325,7.0,0.02,4200.0,0.0004938522518074282
8609.03699714474,4353.531029052571,-13882.199211221116,0.004958232241473975,8.0,0.02,4150.0,0.0005634175393339245
9136.758603038123,4350.417886813259,-14062.017166270889,0.0047260505485016485,9.0,0.02,4150.0,0.000632741698863649
9619.145208660477,4317.375129564638,-14164.71279681514,0.004519988773252059,10.0,0.02,4150.0,0.0007018263962254038
10063.177410800927,4262.631023836596,-14208.690773769988,0.004335604029962146,11.0,0.02,4150.0,0.0007706732800448598
10474.334224026321,4191.90338528623,-14207.532339469326,0.004153912638617519,12.0,0.02,4100.0,0.0008392839819806442
10857.003254048912,4110.047002622479,-14171.504168010455,0.0040040956538850555,13.0,0.02,4100.0,0.0009076601169563551
11214.74126546447,4020.380708086435,-14108.138723865071,0.003867483784748456,14.0,0.02,4100.0,0.000975803283388641
11550.490284562358,3925.624516852917,-14023.392835902327,0.0037423094796744825,15.0,0.02,4100.0,0.001043715063411405
11866.6932696309,3827.8755425037416,-13921.911214556596,0.003627117283201862,16.0,0.02,4100.0,0.0011113970230962158
12165.413474698616,3728.7392610148886,-13807.350562990243,0.0035206963101038235,17.0,0.02,4100.0,0.0011788507126690004
12448.405671274622,3629.43796822468,-13682.613674355925,0.003422029836497334,18.0,0.02,4100.0,0.0012460776667230968
12717.174689329611,3530.8963374236682,-13550.02781994974,0.003318731886706991,19.0,0.02,4050.0,0.0013130794044287361
12973.020713639105,3433.804825879695,-13411.560093643908,0.0032335399797894515,20.0,0.02,4050.0,0.0013798574297390284
13217.074726432927,3338.697524807707,-13268.603039777612,0.003153842817452252,21.0,0.02,4050.0,0.0014464132315925215
13450.326632459477,3246.013299929339,-13122.382937455404,0.0030790993372848234,22.0,0.02,4050.0,0.0015127482841123996
13673.647951660925,3155.9246279771687,-12973.899219583058,0.0030088391949995457,23.0,0.02,4050.0,0.0015788640468023894
13887.80949465495,3068.679261341616,-12823.96787186867,0.0029426513873206783,24.0,0.02,4050.0,0.0016447619647394403
14093.499760214063,2984.358167122974,-12673.256544607324,0.0028801748408887424,25.0,0.02,4050.0,0.0017104434687632388
14291.329908929625,2903.047975671068,-12522.312949250383,0.002821091007974783,26.0,0.02,4050.0,0.0017759099756626212
14481.846759724769,2824.7174745486145,-12371.585017609006,0.0027651179340835545,27.0,0.02,4050.0,0.001841162888358953
14665.546376554226,2749.4410217456557,-12221.44014703188,0.0027120043947646,28.0,0.02,4050.0,0.001906203596086499
14842.87729956725,2677.1146150701584,-12072.178443121822,0.0026615266684637427,29.0,0.02,4050.0,0.0019710334745699186
15014.238913324645,2607.698176743131,-11924.122147445949,0.002690526723352944,30.0,0.02,4050.0,0.002035653886198848
0.0,0.0,-2.628212131370674,0.009216223756612723,0.0,0.06,4300.0,0.0
2024.370609472101,1622.4449751201992,-5134.57976540536,0.008103531494236711,1.0,0.06,4300.0,7.13013232899229e-05
3484.9268197886445,2599.4228327092865,-8127.594194438796,0.007269985230114616,2.0,0.06,4250.0,0.0001423493553772791
4638.976681733403,3229.4932535422563,-10051.096567030312,0.006665654150412137,3.0,0.06,4250.0,0.00021314588947975957
5595.967267467549,3643.2100872708324,-11350.736728627002,0.006152082722102781,4.0,0.06,4200.0,0.00028369269983912767
6414.2692753334095,3911.597343747083,-12253.40443693343,0.005754821495548499,5.0,0.06,4200.0,0.0003539915419880172
7129.137985206631,4078.0746523008725,-12887.352727540077,0.00541906305428475,6.0,0.06,4200.0,0.0004240441530120581
7763.712798316384,4171.177857962239,-13332.111517193582,0.005130426661290049,7.0,0.06,4200.0,0.0004938522518074282
8334.056335292986,4210.655020021605,-13639.748488617151,0.004858999224258615,8.0,0.06,4150.0,0.0005634175393339245
8851.803113422113,4210.72493645161,-13845.495562700678,0.004638795328242093,9.0,0.06,4150.0,0.000632741698863649
9325.654333638488,4181.476235499891,-13974.024197605475,0.0044428599891025424,10.0,0.06,4150.0,0.0007018263962254038
9762.306410993855,4130.826114324841,-14043.309528415237,0.004267124435835154,11.0,0.06,4150.0,0.0007706732800448598
10167.030539320263,4064.4179197499616,-14066.63723076391,0.004108417253085039,12.0,0.06,4150.0,0.0008392839819806442
10544.042290295203,3986.9387091969234,-14054.081824526234,0.003949410176365684,13.0,0.06,4100.0,0.0009076601169563551
10896.78003862255,3901.612719623598,-14013.333533769619,0.003818449264206732,14.0,0.06,4100.0,0.000975803283388641
11228.075033772304,3811.122482242025,-13950.180145787475,0.0036982468894330993,15.0,0.06,4100.0,0.001043715063411405
11540.296321196483,3717.5301958359655,-13869.26757151571,0.003587452865600307,16.0,0.06,4100.0,0.0011113970230962158
11835.440348695738,3622.415036814577,-13774.272197496473,0.0034849414850313455,17.0,0.06,4100.0,0.0011788507126690004
12115.20571337717,3526.9822163925005,-13668.127984723964,0.0033897656403825073,18.0,0.06,4100.0,0.0012460776667230968
12381.052187992927,3432.1475019039162,-13553.193643457744,0.0033011219479677743,19.0,0.06,4100.0,0.0013130794044287361
12634.242241834965,3338.597711333935,-13431.377469831488,0.0032183238728443336,20.0,0.06,4100.0,0.0013798574297390284
12875.875027341355,3246.845970320049,-13304.300769573674,0.003129910521413382,21.0,0.06,4050.0,0.0014464132315925215
13106.913584538246,3157.3300651042236,-13173.196465707639,0.0030574688389990922,22.0,0.06,4050.0,0.0015127482841123996
13328.209029325468,3070.2943186801754,-13039.065132402618,0.0029892994217163987,23.0,0.06,4050.0,0.0015788640468023894
13540.510941344834,2985.885996329019,-12902.76433045316,0.0029250156182069075,24.0,0.06,4050.0,0.0016447619647394403
13744.486938246328,2904.31368864522,-12765.001997042164,0.0028642772319129933,25.0,0.06,4050.0,0.0017104434687632388
13940.734195885558,2825.54925890591,-12626.363874383525,0.002806783908058837,26.0,0.06,4050.0,0.0017759099756626212
14129.792174808686,2749.691421815322,-12487.334044104922,0.0027522692590964304,27.0,0.06,4050.0,0.001841162888358953
14312.141649410392,2676.698628280529,-12348.314513313875,0.002700495696279089,28.0,0.06,4050.0,0.001906203596086499
14488.216349140162,2606.5330707482653,-12209.637230084609,0.002651251486483529,29.0,0.06,4050.0,0.0019710334745699186
14658.417845747,2539.187005653881,-12071.577588851116,0.0026043460713479154,30.0,0.06,4050.0,0.002035653886198848
0.0,0.0,-2.628212131370674,0.008778186795266898,0.0,0.1,4300.0,0.0
1935.5116306897132,1550.757312498383,-4922.532386617822,0.007767867975615169,1.0,0.1,4300.0,7.13013232899229e-05
3340.6230341971327,2490.6008057385066,-7829.387918551962,0.007001810330402683,2.0,0.1,4250.0,0.0001423493553772791
4455.867333168538,3100.1680632854354,-9721.038446359133,0.006444253604828088,3.0,0.1,4250.0,0.00021314588947975957
5383.866974208656,3502.710592510256,-11015.70396125858,0.005994533697503666,4.0,0.1,4250.0,0.00028369269983912767
6179.565514028202,3765.594394105979,-11927.646426378065,0.005595704846921807,5.0,0.1,4200.0,0.0003539915419880172
6876.275044970146,3930.1784521472964,-12578.893663683106,0.005281439725418387,6.0,0.1,4200.0,0.0004240441530120581
7495.909491658838,4023.742801581742,-13045.251814203817,0.00501030269615407,7.0,0.1,4200.0,0.0004938522518074282
8053.742204797265,4065.1904956732083,-13376.508809386869,0.004753362057737131,8.0,0.1,4150.0,0.0005634175393339245
8560.85527124636,4068.2816360202373,-13607.033902968731,0.004545285100194952,9.0,0.1,4150.0,0.000632741698863649
9025.56394701303,4042.709902170087,-13760.5269062359,0.004359655499548036,10.0,0.1,4150.0,0.0007018263962254038
9454.276941838454,3996.081571916563,-13854.486146646392,0.004192765184167102,11.0,0.1,4150.0,0.0007706732800448598
9852.042440302539,3933.969631056445,-13901.903870684153,0.004041715192558701,12.0,0.1,4150.0,0.0008392839819806442
10222.915177846791,3860.8219595440655,-13912.606057266348,0.0039042001357058147,13.0,0.1,4150.0,0.0009076601169563551
10570.197410825951,3779.832651863467,-13894.219858819728,0.0037641613531960664,14.0,0.1,4100.0,0.000975803283388641
10896.62187268938,3693.6264303230896,-13852.636168440433,0.003649130242252584,15.0,0.1,4100.0,0.001043715063411405
11204.468050037638,3604.218689121597,-13792.36582434312,0.003542928537014131,16.0,0.1,4100.0,0.0011113970230962158
11495.664541330676,3513.1602750907937,-13717.08934492139,0.0034445147229801203,17.0,0.1,4100.0,0.0011788507126690004
11771.855211304706,3421.6394448610786,-13629.758799323026,0.003353010740938771,18.0,0.1,4100.0,0.0012460776667230968
12034.452745938846,3330.561144443539,-13532.759883253508,0.003267670341070452,19.0,0.1,4100.0,0.0013130794044287361
12284.680120001893,3240.6066936314473,-13428.033284689911,0.0031878546471230686,20.0,0.1,4100.0,0.0013798574297390284
12523.603196057436,3152.2879171858294,-13317.166881179779,0.003113013016548827,21.0,0.1,4100.0,0.0014464132315925215
12752.156627428678,3065.9792959615265,-13201.469219810577,0.00303200346108287,22.0,0.1,4050.0,0.0015127482841123996
12971.164294701844,2982.0543769977376,-13082.113362662167,0.0029660704750788603,23.0,0.1,4050.0,0.0015788640468023894
13181.356186650912,2900.5882359303873,-12959.888089302483,0.002903829959249335,24.0,0.1,4050.0,0.0016447619647394403
13383.384827384734,2821.776080311281,-12835.537634645734,0.0028449628507885554,25.0,0.1,4050.0,0.0017104434687632388
13577.831950662605,2745.653456795699,-12709.681772804695,0.0027891872864256135,26.0,0.1,4050.0,0.0017759099756626212
13765.21693798078,2672.289359157191,-12582.838063314099,0.00273625260485681,27.0,0.1,4050.0,0.001841162888358953
13946.011509013486,2601.6351869648947,-12455.440105007605,0.0026859353134898413,28.0,0.1,4050.0,0.001906203596086499
14120.644467635606,2533.7302194062186,-12327.849674336096,0.0026380357234034096,29.0,0.1,4050.0,0.0019710334745699186
14289.496889984212,2468.500792514463,-12200.371006122747,0.002592374013896928,30.0,0.1,4050.0,0.002035653886198848
0.0,0.0,-2.628212131370674,0.008344923517191882,0.0,0.13999999999999999,4300.0,0.0
1846.9109526697825,1479.3168787068873,-4709.7427840923265,0.007431114455426638,1.0,0.13999999999999999,4300.0,7.13013232899229e-05
3195.9474571284795,2381.585721214558,-7526.637086198367,0.006729722775639674,2.0,0.13999999999999999,4250.0,0.0001423493553772791
4271.507633210164,2970.0841883527623,-9382.382503012748,0.0062174295523635395,3.0,0.13999999999999999,4250.0,0.00021314588947975957
5169.589002242243,3360.9181665889814,-10668.479591802577,0.0058018711986620106,4.0,0.13999999999999999,4250.0,0.00028369269983912767
5941.779452258492,3617.841625978618,-11586.579447195705,0.005430007797703004,5.0,0.13999999999999999,4200.0,0.0003539915419880172
6619.4713489251235,3780.157937246333,-12252.589186927515,0.005137067079028255,6.0,0.13999999999999999,4200.0,0.0004240441530120581
