CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_std
0.0,0.0,0.0,-2.1237246499294997,0.006691839602623936,0.0,0.02,4250.0,0.0,
737.9845812512285,300.93937275168577,210.65211236656802,-2288.401628610707,0.006481485898082454,1.0,0.02,4200.0,2.3510409188801146e-05,1.7857142857142855e-06
1316.338593555706,449.0974483650755,308.08026674944944,-4101.70042791115,0.006326390904041041,2.0,0.02,4200.0,4.594400574300071e-05,3.571428571428571e-06
1803.5364887171036,517.4831131350327,346.0290253295808,-5596.246882268279,0.006181769315080739,3.0,0.02,4200.0,6.837760229720029e-05,5.357142857142857e-06
2233.3704852208525,541.3543693563253,352.18704755431537,-6865.321489310874,0.006045453453134226,4.0,0.02,4200.0,9.045226130653265e-05,7.142857142857142e-06
2624.157996648995,539.5044509982324,341.32642911619644,-7968.203593119215,0.0059164993612637,5.0,0.02,4200.0,0.00011306532663316583,8.92857142857143e-06
2987.0111795477965,522.6441046065228,321.031473431523,-8944.990035824725,0.005793962005792779,6.0,0.02,4200.0,0.00013460157932519741,1.0714285714285714e-05
3328.40727494557,497.20589402191104,296.4695588924271,-9822.781953156322,0.005677369473984209,7.0,0.02,4200.0,0.00015577889447236182,1.25e-05
3652.9655861972096,467.20098061256937,270.4901417903783,-10622.63598296915,0.005541072527993437,8.0,0.02,4150.0,0.00017803302225412776,1.4285714285714284e-05
3963.535830511375,435.3942309999502,245.75935244150236,-11358.355628546422,0.005436132183137971,9.0,0.02,4150.0,0.00019867193108399138,1.6071428571428572e-05
4262.682140859494,403.4970233879599,224.84599780888274,-12042.384935023852,0.0053351245677018015,10.0,0.02,4150.0,0.00022074659009332378,1.785714285714286e-05
4551.797031741071,373.6369682797569,207.0728095137694,-12681.015951776222,0.005238558735464139,11.0,0.02,4150.0,0.00024282124910265612,1.964285714285714e-05
4831.672320631716,347.5904262297843,191.90772904849692,-13281.990534910903,0.005146058902419631,12.0,0.02,4150.0,0.0002627422828427853,2.1428571428571428e-05
5103.64465043152,324.7981494252432,178.79634165000718,-13852.021797638561,0.005056769292750787,13.0,0.02,4150.0,0.0002846374730796841,2.321428571428571e-05
5368.004710594859,304.83918970101917,167.4604669172309,-14392.249357627508,0.004971398483179389,14.0,0.02,4150.0,0.0003065326633165829,2.5e-05
