CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_std
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0,
1893.0551824717052,1572.8996039736235,984.193371587136,-5027.780945332306,0.009129430471400739,1.0,0.02,4300.0,4.809763101220387e-05,7.1420550219669e-06
3015.697056087628,2355.7980295992184,1401.9034415704298,-7489.605936891254,0.00869603905448076,2.0,0.02,4250.0,8.973438621679828e-05,1.42841100439338e-05
3809.66002072646,2802.308021427276,1583.05707565009,-8783.432882440902,0.008379188437362222,3.0,0.02,4250.0,0.00012921751615218953,2.1426165065900704e-05
4431.231951330354,3074.173872339912,1659.1169816572162,-9464.029092272067,0.008101851329404752,4.0,0.02,4250.0,0.00016798277099784636,2.85682200878676e-05
4949.573492572754,3243.6910092718576,1679.8667227661313,-9794.994933277289,0.007809993272849865,5.0,0.02,4200.0,0.00020459440057430008,3.5710275109834506e-05
5400.371683643808,3348.2328811803463,1672.588513560303,-9919.200534374271,0.007586244224462948,6.0,0.02,4200.0,0.00023905240488155058,4.285233013180141e-05
5803.6303709023005,3409.119928136371,1648.3177043034918,-9916.25110550446,0.007379984906397289,7.0,0.02,4200.0,0.00027386934673366835,4.999438515376831e-05
6170.892061262489,3439.363462583777,1616.9414851487768,-9832.165317164116,0.0071907833635240295,8.0,0.02,4200.0,0.0003101220387652548,5.71364401757352e-05
6510.147334111652,3447.485255607105,1580.7424293917352,-9698.982441651147,0.007014491457484712,9.0,0.02,4200.0,0.0003424264178033022,6.427849519770211e-05
6826.70226404516,3439.1749728418035,1543.5438705080244,-9534.77331783234,0.0068148053979300485,10.0,0.02,4150.0,0.00037688442211055275,7.142055021966901e-05
7126.208672930253,3419.2446064964115,1503.8817274112087,-9358.214905178604,0.0066604843509019095,11.0,0.02,4150.0,0.00040667623833452976,7.856260524163591e-05
7407.934918642769,3389.7937893931985,1466.243945494549,-9168.928781852701,0.0065164806024029685,12.0,0.02,4150.0,0.0004393395549174443,8.570466026360282e-05
7677.855200995385,3353.778500509511,1427.6234598017681,-8981.288133310554,0.006378532615433406,13.0,0.02,4150.0,0.00047128499641062446,9.28467152855697e-05
7934.8532851366535,3312.536107938555,1391.3628887312464,-8791.557274738872,0.006249458092525068,14.0,0.02,4150.0,0.0005025125628140703,9.998877030753662e-05
8182.02499896985,3267.525467083706,1356.6962396905112,-8607.158070562036,0.00612577153195057,15.0,0.02,4150.0,0.0005330222541277817,0.00010713082532950351
8419.80698912278,3220.072570461697,1321.3074888644455,-8426.90409330032,0.006008595332098941,16.0,0.02,4150.0,0.0005628140703517587,0.0001142728803514704
8647.49879530481,3169.9930875796626,1290.3353645341417,-8258.443338563287,0.005897252561121791,17.0,0.02,4150.0,0.0005979899497487437,0.00012141493537343733
8870.765568061632,3118.7963184858177,1257.8260916742584,-8096.090335588226,0.005787655137240591,18.0,0.02,4150.0,0.0006267049533381191,0.00012855699039540422
9084.53355170344,3067.3791947639106,1228.09019689967,-7934.7541415193045,0.0056617377796969424,19.0,0.02,4100.0,0.0006547020818377602,0.00013569904541737112
9291.51302527296,3015.1352980795705,1199.26070347508,-7791.448978899069,0.005564300894195271,20.0,0.02,4100.0,0.0006819813352476669,0.00014284110043933802
9493.510747821792,2961.958920909956,1171.5737632469422,-7646.970213040338,0.0054685643848258365,21.0,0.02,4100.0,0.0007160804020100503,0.00014998315546130493
9687.513771922435,2910.419561794559,1146.1599234402738,-7516.164243904808,0.005381358178638086,22.0,0.02,4100.0,0.0007422828427853552,0.00015712521048327183
9875.82880229195,2858.6698444515137,1121.7619379265573,-7381.465750531534,0.005296693912742722,23.0,0.02,4100.0,0.0007760229720028714,0.00016426726550523873
10061.777092793647,2807.2704702247684,1096.9706092513304,-7268.270985414267,0.0052117863387162655,24.0,0.02,4100.0,0.000801148600143575,0.00017140932052720563
10243.908770167423,2756.8303561138655,1073.873714118362,-7155.830922215282,0.005131081876807391,25.0,0.02,4100.0,0.0008255563531945441,0.00017855137554917254
10422.962184623892,2706.604080724825,1051.0093143640424,-7058.568064834981,0.005051590875015526,26.0,0.02,4100.0,0.0008585786073223258,0.0001856934305711394
10591.07751737166,2658.3428723619936,1030.8294038219537,-6950.214603091103,0.004979830589813956,27.0,0.02,4100.0,0.0008819095477386933,0.0001928354855931063
10760.356838299977,2610.0285826791524,1010.2114262009887,-6857.471719132474,0.004906304107955371,28.0,0.02,4100.0,0.000914572864321608,0.00019997754061507324
10922.56614931738,2562.848081788867,991.7244101368099,-6777.226107115945,0.004836439950591078,29.0,0.02,4100.0,0.0009368269921033739,0.00020711959563704012
11082.055681610378,2515.963825617722,973.4468710752219,-6693.029209654531,0.004768052874533689,30.0,0.02,4100.0,0.0009691313711414212,0.00021426165065900702
0.0,0.0,0.0,-2.628212131370674,0.009211635857417326,0.0,0.06041666666666666,4300.0,0.0,
1806.893014374812,1500.9173594114504,938.9359751290046,-4811.264739863123,0.008730993797632456,1.0,0.06041666666666666,4300.0,4.809763101220387e-05,7.1420550219669e-06
2881.1150105435945,2249.675559679049,1338.3960900980487,-7185.170816965008,0.008333421089016082,2.0,0.06041666666666666,4250.0,8.973438621679828e-05,1.42841100439338e-05
3643.2010523606837,2678.3074966604513,1512.646223326394,-8446.83132582272,0.008043989041414184,3.0,0.06041666666666666,4250.0,0.00012921751615218953,2.1426165065900704e-05
4241.540456926655,2940.5306654793253,1586.7144881538516,-9123.018613533684,0.007789976925804968,4.0,0.06041666666666666,4250.0,0.00016798277099784636,2.85682200878676e-05
4741.749568457143,3105.0473791493055,1607.8919087922218,-9464.299785033785,0.007519601451047241,5.0,0.06041666666666666,4200.0,0.00020459440057430008,3.5710275109834506e-05
5177.709520102925,3207.4127520319853,1602.1867833088304,-9607.184537629619,0.007313755139628483,6.0,0.06041666666666666,4200.0,0.00023905240488155058,4.285233013180141e-05
5568.399921046054,3267.921745292713,1580.081118646425,-9627.385744767445,0.00712361904987724,7.0,0.06041666666666666,4200.0,0.00027386934673366835,4.999438515376831e-05
5924.73744595303,3298.953867922595,1551.058758329164,-9568.619883466701,0.006948865141808168,8.0,0.06041666666666666,4200.0,0.0003101220387652548,5.71364401757352e-05
6254.335803851777,3308.6594831804414,1517.2971334808317,-9461.689728076934,0.006785753776016569,9.0,0.06041666666666666,4200.0,0.0003424264178033022,6.427849519770211e-05
6562.246967682132,3302.486517099408,1482.4757911709382,-9323.974686414113,0.006632915084147433,10.0,0.06041666666666666,4200.0,0.00037688442211055275,7.142055021966901e-05
6853.863830538526,3285.0447609123867,1445.1881597608708,-9173.602854318415,0.006455471863314061,11.0,0.06041666666666666,4150.0,0.00040667623833452976,7.856260524163591e-05
7128.413970448861,3258.3279188219663,1409.7516858700392,-9009.938200818702,0.006321613313865668,12.0,0.06041666666666666,4150.0,0.0004393395549174443,8.570466026360282e-05
7391.687635680191,3225.206096029463,1373.2811332112951,-8847.138888499278,0.00619320210215337,13.0,0.06041666666666666,4150.0,0.00047128499641062446,9.28467152855697e-05
7642.52982133548,3186.93922971986,1338.9951048834916,-8681.208558142906,0.006072873986892466,14.0,0.06041666666666666,4150.0,0.0005025125628140703,9.998877030753662e-05
7883.959111104514,3144.897409300412,1306.2226781125592,-8519.578269721882,0.00595741496414745,15.0,0.06041666666666666,4150.0,0.0005330222541277817,0.00010713082532950351
8116.345103213467,3100.461216009147,1272.6337438655153,-8361.119299148893,0.005847898483358396,16.0,0.06041666666666666,4150.0,0.0005628140703517587,0.0001142728803514704
8339.020781438667,3053.4025230935526,1243.28251888748,-8213.186624548602,0.0057436899214205,17.0,0.06041666666666666,4150.0,0.0005979899497487437,0.00012141493537343733
8557.524250107172,3005.1600921946347,1212.4238891854905,-8071.3850054693685,0.005641013708858623,18.0,0.06041666666666666,4150.0,0.0006267049533381191,0.00012855699039540422
8766.774748692891,2956.6345150742422,1184.1608520556997,-7928.621938020078,0.00554674669513676,19.0,0.06041666666666666,4150.0,0.0006547020818377602,0.00013569904541737112
8969.492349729127,2907.250558663615,1156.7406865692872,-7803.768980589492,0.005454214239129708,20.0,0.06041666666666666,4150.0,0.0006819813352476669,0.00014284110043933802
9167.51948374431,2856.8746130824825,1130.3759276947665,-7676.245792660717,0.005339995047944556,21.0,0.06041666666666666,4100.0,0.0007160804020100503,0.00014998315546130493
9357.64285705347,2808.0079138710526,1106.1788416994411,-7561.280720411174,0.0052579390183480675,22.0,0.06041666666666666,4100.0,0.0007422828427853552,0.00015712521048327183
